,l,r
532,i,i
533,s,i
534,s,i
535,i,m
536,m,s
537,i,m
538,i,i
539,i,i
540,i,i
541,i,m
542,i,i
543,i,m
544,m,m
545,m,i
546,i,i
547,i,s
548,m,i
549,m,m
550,m,s
551,i,s
552,m,i
553,s,s
554,m,i
555,m,i
556,i,m
557,i,i
558,m,m
559,s,i
560,s,i
561,i,i
562,i,s
563,i,i
564,m,i
565,i,i
566,i,i
567,s,i
568,m,s
569,i,i
570,m,m
571,s,i
572,i,m
573,i,m
574,i,i
575,i,s
576,i,s
577,i,i
578,m,i
579,m,i
580,s,m
581,m,s
582,m,s
583,s,s
584,m,i
585,m,i
586,s,s
587,i,i
588,i,i
589,s,i
590,s,m
591,m,i
592,m,s
593,m,i
594,i,s
595,s,m
596,i,s
597,i,i
598,m,m
599,i,i
600,m,i
601,i,i
602,i,s
603,s,i
604,s,m
605,s,s
606,s,s
607,m,s
608,m,s
609,i,i
610,i,s
611,m,s
612,i,s
613,m,i
614,s,m
615,i,i
616,i,m
617,m,i
618,s,i
619,s,s
620,m,m
621,i,i
622,i,s
623,i,s
624,i,s
625,m,m
626,i,i
627,i,i
628,i,m
629,i,i
630,i,i
631,i,m
632,i,i
633,s,m
634,m,m
635,i,i
636,s,i
637,m,i
638,s,m
639,i,i
640,m,i
641,s,i
642,s,i
643,s,i
644,i,i
645,s,i
646,m,m
647,s,i
648,i,s
649,m,i
650,m,s
651,s,i
652,m,m
653,m,i
654,m,i
655,i,s
656,m,i
657,s,s
658,m,s
659,m,s
660,m,s
661,m,i
662,i,i
663,s,i
664,s,m
665,m,s
666,i,i
667,i,m
668,i,m
669,i,i
670,i,s
671,i,m
672,i,m
673,i,i
674,i,i
675,m,m
676,i,s
677,i,s
678,s,s
679,i,s
680,i,s
681,i,i
682,s,s
683,s,i
684,s,m
685,i,m
686,s,i
687,s,m
688,i,i
689,i,s
690,s,i
691,i,i
692,m,i
693,m,s
694,m,s
695,i,m
696,i,m
697,m,m
698,i,i
699,s,m
700,i,i
701,m,m
702,s,m
703,m,i
704,s,s
705,i,s
706,i,s
707,m,m
708,i,i
709,s,i
710,m,s
711,s,i
712,m,i
713,m,m
714,m,i
715,i,m
716,s,i
717,s,i
718,i,i
719,i,s
720,i,s
721,i,s
722,m,i
723,s,s
724,i,s
725,m,s
726,m,m
727,i,s
728,s,s
729,i,m
730,i,s
731,m,i
732,i,i
733,i,m
734,i,i
735,i,s
736,s,i
737,i,i
738,i,i
739,s,s
740,m,m
741,m,i
742,s,i
743,s,s
744,i,s
745,s,i
746,i,i
747,s,m
748,s,m
749,i,m
750,i,i
751,i,i
752,i,m
753,m,i
754,i,m
755,i,m
756,i,m
757,i,s
758,i,m
759,s,m
760,m,m
761,m,i
762,s,m
763,m,s
764,i,i
765,s,i
766,s,s
767,m,i
768,m,s
769,i,i
770,i,i
771,i,m
772,i,m
773,m,s
774,i,i
775,i,i
776,s,i
777,i,i
778,s,i
779,s,m
780,m,i
781,i,i
782,i,i
783,i,i
784,i,m
785,m,s
786,m,i
787,i,s
788,i,s
789,m,i
790,i,i
791,m,i
792,s,m
793,i,i
794,i,i
795,i,i
796,i,m
797,m,s
798,m,s
799,m,i
800,s,i
801,i,i
802,s,m
803,s,m
804,i,i
805,m,m
806,m,s
807,s,s
808,m,s
809,i,s
810,i,s
811,m,i
812,m,m
813,i,s
814,i,m
815,s,m
816,s,s
817,i,m
818,i,m
819,m,i
820,i,s
821,i,i
822,i,i
823,i,i
824,m,i
825,i,s
826,i,i
827,m,s
828,s,i
829,s,i
830,s,s
831,i,i
832,s,i
833,m,m
834,i,i
835,i,m
836,m,i
837,s,m
838,i,s
839,m,i
840,m,s
841,i,i
842,m,m
843,s,i
844,m,m
845,i,i
846,i,m
847,m,m
848,s,i
849,i,i
850,s,i
851,m,i
852,i,s
853,m,i
854,i,i
855,s,i
856,m,m
857,s,m
858,m,s
859,i,m
860,m,s
861,m,m
862,s,i
863,i,m
864,s,s
865,i,s
866,m,s
867,i,i
868,i,m
869,m,m
870,s,m
871,m,m
872,i,
873,m,
874,i,
875,i,
876,i,
877,i,
878,i,
879,m,
880,m,
881,i,
882,i,
883,m,
884,i,
885,i,
886,m,
887,i,
888,m,
889,i,
890,i,
891,m,
892,s,
893,i,
894,m,
895,m,
896,m,
897,i,
898,m,
899,m,
900,s,
901,s,
902,s,
903,i,
904,i,
905,i,
906,m,
907,m,
908,m,
909,m,
910,s,
911,m,
912,m,
913,m,
914,m,
915,s,
916,i,
917,i,
