,left,right
0,sensory,sensory
1,muscle,muscle
2,sensory,inter
3,sensory,inter
4,inter,motor
5,inter,motor
6,inter,inter
7,sensory,muscle
8,inter,sensory
9,sensory,inter
10,sensory,sensory
11,inter,muscle
12,sensory,sensory
13,epithelia,inter
14,muscle,inter
15,inter,inter
16,inter,inter
17,muscle,muscle
18,sensory,ciliated
19,muscle,muscle
20,sensory,sensory
21,muscle,inter
22,motor,muscle
23,muscle,motor
24,sensory,inter
25,sensory,muscle
26,inter,inter
27,sensory,inter
28,sensory,inter
29,sensory,inter
30,inter,sensory
31,epithelia,inter
32,muscle,motor
33,inter,sensory
34,inter,sensory
35,motor,inter
36,inter,sensory
37,motor,sensory
38,inter,inter
39,motor,sensory
40,sensory,inter
41,muscle,motor
42,ciliated,muscle
43,inter,sensory
44,inter,inter
45,muscle,sensory
46,inter,inter
47,inter,inter
48,muscle,sensory
49,motor,sensory
50,ciliated,sensory
51,sensory,muscle
52,inter,muscle
53,sensory,inter
54,epithelia,inter
55,inter,inter
56,inter,sensory
57,inter,sensory
58,sensory,sensory
59,sensory,inter
60,inter,ciliated
61,sensory,inter
62,sensory,inter
63,sensory,inter
64,sensory,inter
65,sensory,inter
66,inter,sensory
67,epithelia,muscle
68,inter,muscle
69,sensory,inter
70,muscle,inter
71,sensory,sensory
72,inter,muscle
73,sensory,sensory
74,motor,epithelia
75,inter,inter
76,inter,sensory
77,sensory,ciliated
78,inter,sensory
79,muscle,sensory
80,sensory,sensory
81,inter,inter
82,sensory,inter
83,inter,sensory
84,epithelia,motor
85,sensory,inter
86,inter,inter
87,inter,muscle
88,inter,sensory
89,sensory,inter
90,muscle,sensory
91,inter,motor
92,ciliated,motor
93,ciliated,inter
94,inter,inter
95,sensory,sensory
96,sensory,inter
97,sensory,ciliated
98,muscle,inter
99,inter,ciliated
100,inter,motor
101,sensory,ciliated
102,motor,inter
103,sensory,inter
104,sensory,sensory
105,sensory,sensory
106,motor,inter
107,inter,inter
108,sensory,inter
109,sensory,motor
110,sensory,inter
111,inter,sensory
112,sensory,inter
113,sensory,epithelia
114,sensory,ciliated
115,muscle,sensory
116,inter,sensory
117,inter,sensory
118,inter,sensory
119,sensory,muscle
120,epithelia,inter
121,ciliated,sensory
122,epithelia,inter
123,sensory,sensory
124,epithelia,ciliated
125,sensory,ciliated
126,ciliated,inter
127,ciliated,ciliated
128,sensory,inter
129,muscle,sensory
130,ciliated,sensory
131,inter,ciliated
132,motor,sensory
133,inter,ciliated
134,ciliated,ciliated
135,motor,motor
136,inter,muscle
137,inter,inter
138,muscle,motor
139,motor,muscle
140,ciliated,motor
141,sensory,sensory
142,muscle,inter
143,inter,sensory
144,ciliated,inter
145,muscle,motor
146,inter,motor
147,motor,sensory
148,sensory,sensory
149,inter,sensory
150,inter,sensory
151,sensory,sensory
152,inter,sensory
153,inter,muscle
154,motor,sensory
155,sensory,muscle
156,sensory,sensory
157,sensory,inter
158,inter,muscle
159,inter,muscle
160,inter,inter
161,sensory,motor
162,motor,inter
163,inter,muscle
164,muscle,motor
165,sensory,sensory
166,sensory,sensory
167,sensory,motor
168,inter,sensory
169,muscle,inter
170,muscle,sensory
171,sensory,sensory
172,sensory,sensory
173,sensory,inter
174,muscle,muscle
175,motor,sensory
176,inter,sensory
177,motor,sensory
178,sensory,sensory
179,inter,sensory
180,sensory,sensory
181,sensory,sensory
182,sensory,epithelia
183,sensory,inter
184,sensory,sensory
185,sensory,muscle
186,sensory,inter
187,sensory,sensory
188,inter,muscle
189,sensory,ciliated
190,sensory,muscle
191,sensory,motor
192,inter,inter
193,inter,muscle
194,inter,muscle
195,inter,inter
196,sensory,inter
197,motor,inter
198,inter,inter
199,inter,ciliated
200,sensory,sensory
201,motor,sensory
202,sensory,sensory
203,sensory,motor
204,sensory,inter
205,inter,sensory
206,motor,inter
207,sensory,muscle
208,muscle,motor
209,motor,inter
210,muscle,muscle
211,muscle,ciliated
212,inter,motor
213,inter,inter
214,inter,sensory
215,inter,muscle
216,sensory,inter
217,motor,ciliated
218,inter,inter
219,inter,inter
220,inter,ciliated
221,inter,inter
222,inter,inter
223,ciliated,motor
224,muscle,muscle
225,motor,sensory
226,inter,muscle
227,inter,motor
228,muscle,muscle
229,inter,inter
230,sensory,inter
231,inter,motor
232,inter,inter
233,inter,sensory
234,sensory,inter
235,sensory,sensory
236,inter,inter
237,muscle,inter
238,inter,motor
239,sensory,inter
240,motor,inter
241,inter,inter
242,inter,inter
243,sensory,inter
244,sensory,inter
245,sensory,ciliated
246,inter,sensory
247,muscle,motor
248,inter,inter
249,inter,sensory
250,sensory,ciliated
251,muscle,muscle
252,inter,inter
253,motor,motor
254,sensory,motor
255,muscle,motor
256,epithelia,muscle
257,muscle,inter
258,muscle,sensory
259,ciliated,muscle
260,motor,inter
261,muscle,sensory
262,motor,sensory
263,motor,muscle
264,muscle,ciliated
265,sensory,inter
266,sensory,epithelia
267,inter,inter
268,muscle,inter
269,sensory,sensory
270,sensory,inter
271,inter,inter
272,muscle,muscle
273,inter,inter
274,inter,inter
275,inter,inter
276,inter,inter
277,sensory,inter
278,inter,inter
279,inter,inter
280,ciliated,motor
281,inter,sensory
282,motor,muscle
283,ciliated,motor
284,inter,sensory
285,inter,inter
286,ciliated,inter
287,inter,sensory
288,inter,motor
289,inter,muscle
290,inter,sensory
291,sensory,sensory
292,sensory,motor
293,inter,sensory
294,sensory,sensory
295,inter,inter
296,muscle,sensory
297,inter,inter
298,inter,inter
299,inter,sensory
300,muscle,sensory
301,inter,inter
302,muscle,inter
303,muscle,inter
304,inter,inter
305,inter,motor
306,sensory,inter
307,inter,sensory
308,motor,muscle
309,sensory,inter
310,inter,inter
311,sensory,inter
312,inter,motor
313,sensory,muscle
314,sensory,inter
315,inter,sensory
316,inter,inter
317,motor,muscle
318,motor,sensory
319,inter,muscle
320,muscle,inter
321,muscle,inter
322,sensory,inter
323,inter,inter
324,ciliated,inter
325,inter,inter
326,motor,inter
327,ciliated,inter
328,inter,inter
329,inter,inter
330,sensory,inter
331,sensory,inter
332,epithelia,inter
333,muscle,motor
334,sensory,inter
335,muscle,sensory
336,motor,inter
337,inter,muscle
338,inter,sensory
339,motor,inter
340,inter,inter
341,inter,motor
342,motor,muscle
343,sensory,sensory
344,inter,motor
345,inter,sensory
346,muscle,inter
347,muscle,muscle
348,motor,muscle
349,motor,sensory
350,muscle,motor
351,motor,muscle
352,muscle,inter
353,inter,muscle
354,muscle,inter
355,inter,muscle
356,muscle,sensory
357,sensory,muscle
358,muscle,sensory
359,inter,inter
360,ciliated,inter
361,inter,inter
362,sensory,inter
363,sensory,sensory
364,sensory,sensory
365,inter,motor
366,motor,motor
367,inter,ciliated
368,inter,motor
369,muscle,epithelia
370,muscle,motor
371,inter,sensory
372,inter,muscle
373,muscle,inter
374,muscle,inter
375,muscle,inter
376,muscle,sensory
377,muscle,sensory
378,muscle,inter
379,sensory,inter
380,muscle,sensory
381,muscle,motor
382,muscle,inter
383,muscle,inter
384,inter,inter
385,sensory,inter
386,ciliated,muscle
387,motor,inter
388,muscle,muscle
389,motor,sensory
390,sensory,sensory
391,muscle,muscle
392,inter,motor
393,inter,inter
394,sensory,sensory
395,muscle,inter
396,inter,inter
397,inter,motor
398,inter,sensory
399,sensory,inter
400,inter,sensory
401,inter,inter
402,sensory,muscle
403,inter,inter
404,sensory,inter
405,inter,sensory
406,muscle,inter
407,inter,inter
408,muscle,motor
409,inter,muscle
410,inter,muscle
411,sensory,muscle
412,inter,muscle
413,inter,sensory
414,inter,sensory
415,motor,motor
416,inter,ciliated
417,muscle,inter
418,motor,muscle
419,ciliated,inter
420,sensory,muscle
421,ciliated,inter
422,inter,motor
423,motor,sensory
424,inter,inter
425,inter,muscle
426,motor,inter
427,inter,inter
428,motor,motor
429,inter,sensory
430,muscle,motor
431,sensory,sensory
432,ciliated,sensory
433,inter,sensory
434,inter,inter
435,muscle,sensory
436,sensory,inter
437,motor,motor
438,muscle,inter
439,sensory,muscle
440,muscle,muscle
441,epithelia,inter
442,ciliated,muscle
443,sensory,inter
444,inter,inter
445,inter,motor
446,inter,muscle
447,sensory,muscle
448,inter,inter
449,epithelia,inter
450,sensory,epithelia
451,sensory,inter
452,muscle,sensory
453,muscle,inter
454,muscle,sensory
455,muscle,sensory
456,inter,sensory
457,muscle,muscle
458,muscle,inter
459,sensory,inter
460,inter,inter
461,muscle,muscle
462,inter,muscle
463,muscle,sensory
464,inter,motor
465,sensory,inter
466,muscle,inter
467,sensory,sensory
468,inter,motor
469,muscle,muscle
470,inter,sensory
471,sensory,muscle
472,inter,inter
473,motor,inter
474,muscle,muscle
475,inter,muscle
476,motor,inter
477,sensory,muscle
478,inter,inter
479,muscle,inter
480,sensory,inter
481,sensory,sensory
482,sensory,inter
483,sensory,inter
484,inter,inter
485,inter,muscle
486,inter,motor
487,muscle,muscle
488,muscle,inter
489,inter,inter
490,inter,inter
491,inter,sensory
492,inter,inter
493,sensory,muscle
494,sensory,motor
495,sensory,inter
496,inter,muscle
497,muscle,inter
498,ciliated,muscle
499,muscle,motor
500,inter,inter
501,inter,sensory
502,ciliated,sensory
503,sensory,sensory
504,motor,ciliated
505,inter,inter
506,muscle,inter
507,muscle,sensory
508,inter,sensory
509,inter,muscle
