,head,pygidium,1,2,3
0,s,s,m,m,m
1,s,s,i,m,i
2,s,s,i,i,i
3,i,s,m,m,i
4,i,s,m,m,m
5,i,s,m,m,s
6,s,i,i,i,m
7,s,s,m,i,m
8,i,i,s,m,m
9,s,s,i,m,i
10,s,s,m,m,m
11,s,i,i,i,i
12,i,i,m,s,m
13,s,s,i,i,i
14,i,m,i,i,m
15,i,s,i,m,i
16,i,s,i,i,i
17,s,s,i,s,m
18,i,s,m,i,i
19,s,s,i,i,i
20,m,s,s,i,m
21,s,s,i,i,m
22,i,s,i,m,m
23,m,i,m,s,s
24,s,s,m,i,s
25,i,s,m,m,i
26,s,s,m,s,i
27,i,m,i,i,s
28,s,s,s,i,m
29,i,s,s,s,m
30,i,i,m,m,m
31,s,s,i,i,i
32,s,i,s,m,s
33,i,i,i,s,m
34,i,i,i,s,m
35,i,s,i,s,m
36,s,i,m,s,m
37,s,i,m,i,m
38,s,s,i,i,m
39,i,i,m,s,i
40,s,i,s,m,i
41,m,s,s,i,m
42,i,s,m,m,s
43,i,s,i,s,s
44,s,i,i,m,s
45,i,m,m,i,s
46,i,s,m,m,m
47,s,s,m,s,m
48,s,s,m,i,m
49,s,s,s,m,i
50,i,s,s,m,i
51,i,s,s,m,m
52,s,s,s,i,s
53,s,s,s,m,i
54,s,i,i,s,m
55,i,s,i,i,i
56,s,s,m,m,m
57,i,i,m,s,i
58,s,s,i,i,m
59,s,s,i,s,m
60,s,m,i,s,i
61,s,s,i,i,i
62,i,m,s,m,m
63,s,s,m,m,m
64,i,s,i,m,m
65,i,m,i,m,m
66,s,i,m,m,i
67,i,m,i,i,i
68,s,m,m,s,m
69,s,m,s,m,i
70,s,m,i,i,m
71,i,m,i,i,m
72,s,,i,m,m
73,i,,i,i,i
74,s,,i,m,m
75,i,,i,m,i
76,i,,i,i,s
77,s,,i,m,i
78,i,,i,i,m
79,s,,i,s,m
80,i,,i,s,i
81,s,,i,m,m
82,i,,m,i,i
83,i,,m,s,i
84,i,,m,i,m
85,s,,i,i,m
86,i,,m,m,s
87,i,,i,i,i
88,i,,m,m,s
89,m,,m,m,s
90,i,,i,m,i
91,s,,m,s,s
92,s,,i,m,i
93,i,,m,m,i
94,s,,m,m,i
95,s,,i,m,i
96,s,,m,m,m
97,s,,i,m,m
98,i,,i,m,s
99,i,,m,m,m
100,s,,m,m,m
101,i,,m,i,i
102,s,,m,m,m
103,s,,m,i,m
104,s,,m,i,m
105,i,,m,m,m
106,i,,m,i,s
107,i,,m,s,i
108,i,,i,m,m
109,i,,m,i,i
110,i,,m,m,m
111,s,,m,m,m
112,s,,m,i,m
113,s,,i,m,m
114,s,,i,i,m
115,i,,i,i,m
116,s,,m,m,m
117,s,,m,s,i
118,s,,m,s,m
119,i,,i,i,m
120,s,,m,m,i
121,s,,i,i,i
122,s,,m,m,m
123,s,,m,m,m
124,s,,m,i,m
125,i,,i,m,i
126,s,,m,i,i
127,s,,m,m,m
128,m,,s,i,i
129,s,,m,i,m
130,s,,i,i,i
131,s,,m,m,s
132,s,,i,i,i
133,s,,m,i,m
134,s,,m,s,m
135,s,,m,i,i
136,s,,m,m,m
137,i,,i,m,i
138,s,,i,i,m
139,i,,i,m,m
140,m,,m,s,m
141,m,,m,m,m
142,i,,m,m,m
143,i,,m,i,s
144,s,,s,m,i
145,s,,i,m,i
146,i,,m,i,m
147,i,,m,m,i
148,s,,i,s,i
149,s,,s,i,s
150,s,,m,i,s
151,s,,m,i,i
152,i,,m,i,s
153,s,,i,m,s
154,s,,m,m,m
155,i,,i,i,m
156,s,,i,i,m
157,i,,m,m,i
158,i,,m,m,i
159,i,,i,m,m
160,i,,m,i,m
161,i,,m,i,i
162,i,,m,m,m
163,i,,i,m,i
164,s,,m,i,m
165,i,,m,s,m
166,i,,m,i,m
167,s,,m,m,m
168,s,,i,i,m
169,i,,m,s,m
170,i,,m,m,i
171,i,,i,i,m
172,i,,i,i,m
173,i,,i,i,m
174,s,,m,m,m
175,s,,m,i,i
176,i,,i,i,i
177,i,,m,m,i
178,i,,m,m,i
179,s,,m,m,i
180,s,,m,i,m
181,i,,m,i,i
182,i,,i,m,i
183,i,,i,i,s
184,i,,m,m,m
185,s,,s,i,i
186,m,,m,i,i
187,s,,i,m,i
188,s,,s,m,m
189,s,,m,m,i
190,i,,m,m,i
191,s,,s,i,i
192,s,,i,i,s
193,i,,m,m,m
194,i,,m,s,i
195,i,,m,m,m
196,i,,i,m,m
197,i,,m,i,i
198,s,,i,m,s
199,i,,m,m,m
200,i,,i,i,m
201,s,,m,i,i
202,s,,s,m,m
203,s,,s,i,i
204,i,,m,m,m
205,s,,i,m,m
206,i,,i,m,i
207,s,,i,i,m
208,s,,m,i,m
209,i,,i,i,m
210,i,,s,i,i
211,i,,i,s,i
212,s,,s,i,i
213,s,,i,m,s
214,i,,i,i,s
215,i,,i,i,s
216,i,,i,m,s
217,s,,i,i,s
218,i,,s,i,i
219,i,,i,i,i
220,s,,s,i,i
221,i,,m,m,m
222,m,,i,i,m
223,s,,m,s,m
224,i,,m,s,i
225,s,,m,i,m
226,i,,m,i,m
227,s,,m,m,i
228,s,,i,m,i
229,i,,m,i,i
230,i,,i,m,m
231,i,,i,i,i
232,i,,m,m,i
233,i,,i,m,m
234,m,,i,i,m
235,i,,m,m,m
236,s,,m,i,i
237,i,,i,m,m
238,i,,i,i,s
239,i,,m,m,s
240,i,,i,i,m
241,s,,m,i,m
242,i,,m,m,m
243,s,,i,m,i
244,s,,m,i,i
245,i,,s,m,i
246,s,,m,i,m
247,i,,i,i,s
248,i,,i,m,i
249,s,,m,m,m
250,s,,m,i,s
251,i,,i,m,s
252,s,,i,m,m
253,s,,m,m,m
254,i,,m,m,m
255,i,,s,i,m
256,s,,s,i,i
257,s,,m,i,i
258,i,,s,i,m
259,i,,s,m,m
260,m,,i,i,i
261,i,,m,m,m
262,s,,i,m,i
263,s,,m,i,s
264,m,,i,m,m
265,i,,i,i,m
266,s,,i,i,i
267,i,,m,s,i
268,s,,i,m,i
269,i,,m,i,i
270,s,,i,i,i
271,s,,m,m,m
272,i,,m,m,i
273,s,,i,m,i
274,s,,m,i,m
275,s,,m,m,m
276,s,,m,m,m
277,i,,i,m,m
278,i,,s,m,s
279,s,,i,m,m
280,s,,m,m,i
281,s,,m,m,m
282,i,,i,i,m
283,s,,m,i,s
284,i,,i,m,m
285,i,,m,i,m
286,i,,m,i,m
287,s,,m,i,i
288,s,,m,i,m
289,s,,m,s,m
290,s,,m,m,i
291,i,,i,i,i
292,i,,i,i,m
293,i,,i,i,m
294,i,,i,i,s
295,m,,m,m,m
296,s,,i,m,i
297,s,,m,m,m
298,i,,m,m,m
299,i,,m,m,s
300,i,,i,s,m
301,s,,i,i,m
302,s,,m,m,m
303,s,,s,i,m
304,i,,i,i,i
305,s,,m,m,
306,i,,m,i,
307,s,,m,i,
308,i,,,s,
309,m,,,m,
310,i,,,s,
311,i,,,i,
312,i,,,m,
313,s,,,m,
314,s,,,i,
315,s,,,i,
316,s,,,i,
317,s,,,i,
318,s,,,m,
319,i,,,i,
320,i,,,i,
321,s,,,i,
322,i,,,s,
323,i,,,m,
324,s,,,m,
325,s,,,i,
326,s,,,m,
327,i,,,i,
328,s,,,i,
329,i,,,i,
330,s,,,i,
331,i,,,m,
332,i,,,m,
333,s,,,m,
334,i,,,m,
335,i,,,m,
336,i,,,m,
337,s,,,i,
338,i,,,m,
339,i,,,m,
340,s,,,m,
341,s,,,s,
342,s,,,s,
343,i,,,i,
344,i,,,i,
345,s,,,m,
346,i,,,i,
347,i,,,s,
348,s,,,m,
349,s,,,i,
350,i,,,i,
351,i,,,i,
352,s,,,m,
353,s,,,m,
354,s,,,i,
355,i,,,i,
356,i,,,m,
357,s,,,m,
358,s,,,m,
359,i,,,m,
360,s,,,m,
361,m,,,m,
362,i,,,i,
363,s,,,i,
364,s,,,i,
365,i,,,i,
366,s,,,i,
367,s,,,m,
368,i,,,m,
369,i,,,m,
370,s,,,i,
371,s,,,m,
372,m,,,i,
373,s,,,m,
374,s,,,i,
375,s,,,m,
376,s,,,i,
377,s,,,s,
378,s,,,m,
379,s,,,m,
380,s,,,m,
381,s,,,,
382,s,,,,
383,i,,,,
384,i,,,,
385,i,,,,
386,s,,,,
387,i,,,,
388,i,,,,
389,i,,,,
390,s,,,,
391,s,,,,
392,i,,,,
393,s,,,,
394,i,,,,
395,s,,,,
396,i,,,,
397,i,,,,
398,i,,,,
399,i,,,,
400,i,,,,
401,i,,,,
402,s,,,,
403,i,,,,
404,s,,,,
405,i,,,,
406,s,,,,
407,s,,,,
408,i,,,,
409,i,,,,
410,s,,,,
411,i,,,,
412,s,,,,
413,i,,,,
414,s,,,,
415,i,,,,
416,s,,,,
417,s,,,,
418,s,,,,
419,i,,,,
420,i,,,,
421,i,,,,
422,i,,,,
423,s,,,,
424,i,,,,
425,i,,,,
426,i,,,,
427,i,,,,
428,m,,,,
429,i,,,,
430,s,,,,
431,s,,,,
432,i,,,,
433,i,,,,
434,s,,,,
435,s,,,,
436,i,,,,
437,i,,,,
438,i,,,,
439,s,,,,
440,i,,,,
441,s,,,,
442,i,,,,
443,i,,,,
444,s,,,,
445,s,,,,
446,s,,,,
447,i,,,,
448,i,,,,
449,i,,,,
450,i,,,,
451,i,,,,
452,i,,,,
453,s,,,,
454,i,,,,
455,s,,,,
456,s,,,,
457,i,,,,
458,s,,,,
459,i,,,,
460,s,,,,
461,i,,,,
462,s,,,,
463,s,,,,
464,s,,,,
465,s,,,,
466,i,,,,
467,s,,,,
468,i,,,,
469,s,,,,
