,skids,side,class,segment,type,group
151,2015704,left,sensory,0,94.0,16.0
152,1335777,left,sensory,pygidium,80.0,9.0
153,672228,right,sensory,head,41.0,
154,1524203,right,,3,,
155,2294251,left,inter,head,,13.0
156,1335790,left,sensory,pygidium,,9.0
157,1286644,,,,,
158,1327607,right,sensory,head,30.0,
159,1450492,right,muscle,3,,
160,1335807,left,sensory,pygidium,93.0,9.0
161,1303054,left,,head,,
162,1204752,right,muscle,0,,
163,762387,right,inter,head,,14.0
164,1589782,right,inter,1,,
165,1335832,left,sensory,pygidium,,9.0
166,1409561,right,inter,3,,1.0
167,1770014,right,sensory,0,,16.0
168,1950241,left,sensory,2,,
169,1294885,left,,head,,
170,1335845,left,sensory,pygidium,,9.0
171,1950245,left,inter,2,,
172,1491500,,,,,
173,844338,left,epithelia,1,,
174,746037,right,,head,,
175,1483318,,,,,
176,442961,right,sensory,head,48.0,
177,1417810,right,sensory,head,168.0,
178,1450580,left,inter,1,,
179,705116,right,inter,2,,1.0
180,1294947,right,ciliated,head,,
181,1278565,left,sensory,head,,
182,1057387,left,muscle,2,,
183,1155695,left,sensory,head,29.0,
184,1303153,right,inter,head,,
185,1450610,right,inter,3,,3.0
186,1827444,left,inter,1,,1.0
187,1294966,left,,head,,
188,1491577,right,inter,2,,2.0
189,1409659,right,inter,pygidium,146.0,3.0
190,1434239,,,,,
191,1294978,right,,head,,
192,1278598,left,sensory,pygidium,80.0,9.0
193,1409671,right,inter,pygidium,146.0,3.0
194,1294986,left,motor,1,142.0,
195,2220688,,,,,
196,1278611,right,,,,
197,1327767,right,sensory,head,163.0,
198,1393309,right,muscle,3,,
199,582306,right,muscle,3,,
200,1426084,,,,,
201,1286825,right,inter,head,,
202,1417899,,,,,
203,1950381,left,,1,,
204,1704627,right,inter,head,171.0,
205,1360565,right,sensory,2,81.0,
206,1393334,right,muscle,3,,
207,541367,right,sensory,head,29.0,
208,2015926,left,inter,2,,1.0
209,1278649,right,epithelia,head,,
210,1950393,left,inter,1,,1.0
211,1729214,right,inter,head,,
212,1360579,left,sensory,1,95.0,
213,1721031,,,,,
214,1696456,left,inter,2,155.0,3.0
215,1352396,left,muscle,0,,
216,983759,right,sensory,head,114.0,
217,1639124,left,sensory,0,,18.0
218,180953,right,ciliated,head,,
219,2015966,left,inter,1,,7.0
220,1278688,left,sensory,pygidium,101.0,9.0
221,172769,left,inter,1,78.0,7.0
222,1319649,right,sensory,head,29.0,
223,1630952,left,epithelia,pygidium,,
224,1278697,left,sensory,pygidium,101.0,9.0
225,1319657,right,sensory,head,103.0,
226,74477,left,inter,head,,
227,770802,right,sensory,head,34.0,
228,369396,right,inter,pygidium,72.0,1.0
229,1426168,,,,,
230,1311483,right,inter,head,127.0,
231,1123072,right,sensory,head,173.0,
232,1303297,left,inter,head,,
233,1360640,,,,,
234,1442572,right,motor,1,,
235,1794836,,,,,
236,1950485,left,inter,2,,
237,2016023,,,,,
238,1319704,right,inter,head,,
239,2016028,,,,,
240,115486,left,sensory,head,37.0,
241,1450796,right,inter,2,,1.0
242,942898,left,muscle,1,,
243,1033010,right,muscle,2,,
244,1778482,right,sensory,2,95.0,
245,1278774,left,inter,pygidium,146.0,3.0
246,246584,right,inter,head,6.0,
247,1311558,right,sensory,head,,
248,1753932,right,motor,1,,
249,557901,right,motor,1,162.0,
250,1000272,right,inter,1,,2.0
251,992087,left,ciliated,3,,
252,992096,left,ciliated,3,,
253,2016098,,,,,
254,1352547,,,,,
255,1409892,,,,,
256,1172329,,,,,
257,893804,right,inter,head,,
258,1311597,right,sensory,head,,8.0
259,41848,left,inter,head,126.0,
260,557944,right,inter,head,,12.0
261,992125,right,ciliated,3,,
262,1295231,right,inter,2,,4.0
263,2294656,left,sensory,1,91.0,
264,1328001,right,ciliated,3,,
265,1688455,right,,1,,
266,1950602,right,motor,2,162.0,
267,992139,right,ciliated,3,,
268,1942411,,,,,
269,1377167,left,sensory,2,95.0,
270,1393552,right,inter,2,,3.0
271,2007954,right,inter,2,,3.0
272,1377175,left,sensory,2,95.0,
273,1647512,left,muscle,2,,
274,1704860,left,inter,head,22.0,12.0
275,1565599,left,inter,2,,2.0
276,1377191,left,sensory,1,94.0,
277,1541032,left,motor,2,159.0,
278,295849,right,sensory,head,52.0,
279,1631145,left,sensory,3,95.0,
280,1950633,,,,,
281,1377198,right,sensory,2,94.0,
282,1393583,,,,,
283,1393588,,,,,
284,1278903,left,sensory,pygidium,101.0,9.0
285,328632,right,inter,head,2.0,
286,1418168,,,,,
287,2294716,,,,,
288,1385409,,,,,
289,1172421,,,,,
290,1319881,right,inter,head,,
291,1360843,left,sensory,3,80.0,
292,1311697,right,inter,head,,
293,1655775,right,,1,,
294,1729505,,,,,
295,656354,left,motor,head,,
296,1278947,left,inter,3,,7.0
297,1500133,,,,,
298,1434598,right,motor,pygidium,64.0,
299,1418215,,,,,
300,1336299,left,sensory,2,89.0,
301,1278959,right,inter,3,,4.0
302,1295346,,,,,
303,1516536,left,sensory,3,91.0,
304,1287162,left,sensory,pygidium,,9.0
305,1377274,left,inter,head,,
306,1401852,right,sensory,2,71.0,
307,1360893,left,sensory,2,80.0,
308,1721342,left,sensory,head,32.0,
309,2294784,left,sensory,head,,8.0
310,1336321,right,inter,head,144.0,13.0
311,1467402,right,,,,
312,1410068,,,,,
313,2016279,,,,,
314,1549338,right,epithelia,0,,
315,2016288,,,,,
316,1565731,,,,,
317,943145,left,muscle,1,,
318,1295406,left,inter,1,,
319,1500207,left,inter,2,,3.0
320,1860656,left,inter,2,169.0,3.0
321,1156145,left,sensory,head,29.0,
322,992309,right,ciliated,3,,
323,1344565,right,sensory,pygidium,98.0,9.0
324,1385530,left,epithelia,pygidium,,
325,1410108,,,,,
326,1999932,right,sensory,1,95.0,
327,992318,left,ciliated,3,,
328,476224,right,sensory,head,163.0,
329,1385536,left,epithelia,pygidium,,
330,1975364,left,sensory,2,94.0,
331,1385542,left,epithelia,pygidium,,
332,1360967,right,sensory,pygidium,,9.0
333,2313924,,,,,
334,1590351,right,muscle,3,,
335,1074256,left,sensory,head,13.0,
336,992337,left,ciliated,2,,
337,1279058,,,,,
338,1999956,right,inter,1,,
339,1344599,right,sensory,pygidium,98.0,9.0
340,992344,left,ciliated,2,,
341,1090653,left,sensory,head,29.0,
342,1623138,left,muscle,3,,
343,992355,left,ciliated,2,,
344,1082470,left,inter,1,,1.0
345,1279078,left,motor,3,,
346,1303655,left,inter,head,,
347,590953,right,inter,head,57.0,
348,992365,left,ciliated,2,,
349,1729648,left,motor,2,67.0,
350,1688689,right,sensory,head,100.0,
351,992374,right,ciliated,2,,
352,1393787,left,inter,3,,3.0
353,992383,right,ciliated,2,,
354,1426565,right,inter,1,,2.0
355,1541262,left,inter,2,,
356,992401,right,ciliated,2,,
357,1647763,left,muscle,1,,
358,1336469,,,,,
359,1459349,,,,,
360,1311897,right,inter,head,,
361,1442970,right,sensory,3,89.0,
362,1295517,left,motor,1,63.0,
363,1639584,right,sensory,head,31.0,
364,992419,right,ciliated,2,,
365,992429,left,ciliated,2,,
366,1311918,,,,,
367,189615,right,sensory,head,96.0,
368,320687,left,sensory,head,,
369,992438,right,ciliated,1,,
370,1623227,left,muscle,3,,
371,992446,right,ciliated,1,,
372,1582275,left,inter,1,,4.0
373,992455,left,ciliated,1,,
374,1377483,right,motor,1,,
375,1590476,right,muscle,3,,
376,1860825,,,,,
377,672986,right,inter,head,,
378,1860829,,,,,
379,1410274,right,motor,3,,
380,1484007,left,,3,,3.0
381,1623277,left,muscle,3,,
382,1393903,right,muscle,3,,
383,1410290,right,motor,2,,
384,296186,left,inter,head,,13.0
385,1361146,right,sensory,1,91.0,
386,34044,right,inter,head,2.0,
387,1336580,left,,1,,
388,1828100,left,motor,3,128.0,
389,2008327,left,sensory,2,71.0,
390,361741,left,inter,head,,13.0
391,156947,right,sensory,0,94.0,16.0
392,1279252,left,inter,3,,7.0
393,1361174,left,sensory,1,91.0,
394,1393942,left,inter,3,,3.0
395,1860886,left,inter,head,117.0,12.0
396,1287449,right,inter,head,,12.0
397,1459484,,,,,
398,1598752,left,motor,1,151.0,
399,2008355,right,motor,2,,
400,1729830,right,motor,3,,
401,1328429,right,sensory,head,,15.0
402,1459509,,,,,
403,2008373,,,,,
404,1361208,right,sensory,3,91.0,
405,1410367,,,,,
406,2016575,,,,,
407,1156418,left,sensory,head,163.0,
408,2295109,right,,head,,
409,58694,left,sensory,head,1.0,
410,1361224,left,sensory,3,80.0,
411,1434961,right,sensory,3,71.0,
412,1361239,right,sensory,3,80.0,
413,984413,right,sensory,head,114.0,
414,1328477,left,inter,1,,
415,1328483,left,inter,1,,7.0
416,1303909,left,inter,head,21.0,
417,1680741,right,,1,,
418,2008424,,,,,
419,1361264,left,sensory,pygidium,91.0,9.0
420,1434995,,,,,
421,615803,right,sensory,head,29.0,
422,1402236,,,,,
423,2016638,,,,,
424,1951105,left,motor,1,165.0,
425,1516938,,,,,
426,689547,left,inter,2,,3.0
427,1385867,,,,,
428,1836430,,,,,
429,1631633,left,muscle,2,,
430,1336723,left,sensory,head,24.0,
431,1590675,right,muscle,3,,
432,2008469,left,sensory,2,89.0,
433,181663,left,sensory,head,96.0,
434,1361317,left,inter,head,120.0,
435,1574311,left,muscle,3,,
436,1648045,,,,,
437,1951150,,,,,
438,2033073,,,,,
439,1295794,,,,,
440,1582515,,,,,
441,943540,left,muscle,0,,
442,1312181,right,sensory,head,49.0,
443,2008501,left,,,,
444,804282,right,muscle,1,,
445,1312187,right,sensory,head,97.0,
446,738760,left,sensory,head,88.0,15.0
447,550345,left,sensory,head,29.0,
448,1156554,left,sensory,head,138.0,8.0
449,1820104,,,,,
450,280016,right,inter,2,,
451,1238488,left,muscle,1,,
452,1574360,right,muscle,3,,
453,1549787,left,motor,1,,
454,1517020,left,,2,,
455,1230301,right,muscle,2,,
456,1648091,,,,,
457,1312224,right,inter,head,,
458,2008544,right,motor,2,162.0,
459,1934818,right,inter,3,,1.0
460,525800,left,inter,3,79.0,7.0
461,1525235,left,motor,2,,
462,1574394,right,muscle,3,,
463,58877,left,sensory,head,1.0,
464,1959421,left,inter,2,,1.0
465,1361412,left,sensory,3,80.0,
466,1476102,left,,2,,3.0
467,1787398,,,,,
468,837128,left,sensory,head,31.0,
469,1525257,right,motor,2,62.0,
470,2008588,left,sensory,2,80.0,
471,1279508,right,sensory,pygidium,98.0,9.0
472,2008597,,,,,
473,1541658,right,sensory,pygidium,,9.0
474,1689115,,,,,
475,140828,right,motor,head,85.0,
476,1279518,right,sensory,pygidium,80.0,9.0
477,1312289,right,inter,pygidium,147.0,1.0
478,1279525,right,sensory,pygidium,98.0,9.0
479,26163,right,sensory,head,1.0,
480,1361460,left,sensory,1,80.0,
481,1279543,right,sensory,pygidium,98.0,9.0
482,1353272,,,,,
483,452157,left,sensory,head,129.0,
484,673344,left,sensory,head,141.0,
485,493121,right,inter,2,,7.0
486,1631808,right,muscle,2,,
487,1656387,,,,,
488,1959492,right,sensory,head,,
489,2008640,left,sensory,2,71.0,
490,1361481,left,sensory,1,80.0,
491,1328714,right,sensory,head,29.0,
492,1279563,right,sensory,pygidium,101.0,9.0
493,1377866,right,sensory,head,16.0,
494,1295953,left,inter,2,,3.0
495,1361489,right,sensory,1,91.0,
496,1443411,right,sensory,1,71.0,
497,452180,right,sensory,head,139.0,
498,1459796,right,epithelia,pygidium,,
499,1353303,right,inter,3,,5.0
500,58968,left,sensory,head,1.0,
501,1361497,right,sensory,1,80.0,
502,2008663,left,sensory,2,80.0,
503,1279584,right,muscle,pygidium,,
504,1721958,,,,,
505,1394281,left,sensory,2,91.0,
506,1312363,left,inter,2,177.0,4.0
507,1369708,,,,,
508,2008684,,,,,
509,386671,left,inter,head,58.0,13.0
510,2016881,right,inter,1,,3.0
511,1738354,,,,,
512,1656440,left,inter,1,,3.0
513,2131576,,,,,
514,1123964,right,sensory,head,29.0,
515,1279612,right,muscle,3,,
516,1345150,left,inter,head,,
517,1730175,left,sensory,pygidium,,9.0
518,2016896,left,motor,head,,
519,198277,right,ciliated,head,,
520,1312390,left,inter,3,,7.0
521,1435271,right,muscle,3,,
522,2016902,right,motor,head,,
523,108173,right,inter,head,125.0,
524,575119,right,muscle,2,,
525,1975953,,,,,
526,1640084,left,,,,
527,1943188,,,,,
528,1050266,,,,,
529,1386139,left,inter,3,,4.0
530,1648285,,,,,
531,1582753,,,,,
532,1697442,,,,,
533,1590954,right,muscle,3,,
534,2008748,,,,,
535,1418928,lc,sensory,head,132.0,
536,1115832,right,inter,head,,
537,1459897,,,,,
538,83642,left,sensory,head,111.0,
539,1386171,,,,,
540,1435324,left,motor,3,,
541,1353407,,,,,
542,1402559,left,sensory,head,163.0,
543,1386177,left,sensory,pygidium,115.0,9.0
544,1656520,left,,1,,
545,1656524,left,,1,,
546,1345237,right,inter,head,,
547,1328854,right,inter,head,171.0,
548,1410776,right,inter,3,,3.0
549,607961,right,ciliated,1,,
550,493278,right,sensory,head,46.0,
551,796391,right,sensory,head,100.0,
552,247535,left,sensory,head,134.0,
553,1320688,,,,,
554,57341,right,sensory,head,33.0,
555,1312505,right,motor,1,,
556,1976063,right,inter,3,,1.0
557,493317,left,inter,head,,
558,1328909,right,sensory,head,,
559,1730319,,,,,
560,1533713,,,,,
561,1591058,left,,2,,
562,1320728,,,,,
563,1435418,left,motor,3,,
564,1500956,right,,2,,
565,1460009,right,inter,pygidium,146.0,3.0
566,1419056,left,sensory,head,137.0,
567,1345331,,,,,
568,1681204,,,,,
569,1607477,right,muscle,2,,
570,1345337,right,motor,2,,
571,1648444,left,muscle,3,,
572,1779518,left,motor,1,,
573,1435458,left,muscle,3,,
574,1312586,right,inter,1,,3.0
575,1419083,right,muscle,3,,
576,1394518,left,muscle,2,,
577,575319,right,ciliated,2,,
578,1427287,left,inter,3,,
579,1558360,right,,0,,
580,1320798,lc,sensory,head,,
581,1386336,left,inter,3,,7.0
582,1468265,right,motor,2,,
583,1558377,right,,0,,
584,1402736,left,inter,2,,
585,1582964,right,inter,1,,2.0
586,1312647,right,sensory,2,90.0,
587,411531,left,inter,head,57.0,
588,1460107,right,muscle,2,,
589,1378190,right,inter,1,,2.0
590,223119,,,,,
591,1419152,left,sensory,head,112.0,
592,1427342,,,,,
593,1460113,left,motor,3,,
594,542612,right,ciliated,head,,
595,1304469,right,inter,head,126.0,
596,1337238,left,inter,head,118.0,
597,1435540,right,,1,,
598,1173400,right,inter,3,,
599,690083,,,,,
600,1525669,left,inter,2,169.0,3.0
601,1312678,left,inter,1,60.0,7.0
602,1271721,left,inter,head,,
603,1337258,left,inter,head,,12.0
604,608173,right,ciliated,1,,
605,206767,left,ciliated,head,,
606,1673139,left,,2,,
607,190388,,,,,
608,1345461,right,inter,head,152.0,12.0
609,1845175,right,inter,2,,
610,1435591,right,motor,3,,
611,1583047,left,muscle,3,,
612,1755080,left,motor,2,,
613,1337294,left,inter,head,122.0,
614,1378254,,,,,
615,2000850,left,inter,2,154.0,3.0
616,1443798,left,muscle,3,,
617,575448,right,muscle,2,,
618,1320921,left,inter,head,,13.0
619,1312731,left,sensory,1,71.0,
620,1533917,left,,1,,
621,1271778,right,sensory,head,148.0,
622,370662,left,inter,head,57.0,
623,1443817,,,,,
624,1320938,left,inter,head,,
625,1312751,,,,,
626,2000882,left,,2,,
627,1697791,,,,,
628,600071,right,muscle,2,,
629,1329166,left,inter,2,,7.0
630,2000911,left,,3,,
631,1542162,,,,,
632,436248,left,sensory,head,39.0,
633,1280027,right,motor,1,59.0,
634,1370141,,,,,
635,1632286,right,muscle,2,,
636,2033694,,,,,
637,1558573,,,,,
638,1386544,left,,3,,4.0
639,1329204,left,sensory,head,,
640,1411126,right,inter,3,,4.0
641,2017334,,,,,
642,1845305,right,inter,2,,1.0
643,1697854,right,motor,3,62.0,
644,1411136,right,inter,3,,
645,1615940,,,,,
646,1837125,right,sensory,2,80.0,
647,1271884,right,inter,head,,
648,1304654,left,inter,1,109.0,
649,1484878,left,muscle,0,,
650,1525838,,,,,
651,1321044,left,inter,head,,
652,1468500,right,,2,,6.0
653,1370203,right,sensory,3,,
654,1583195,right,inter,1,,6.0
655,1329247,right,inter,head,,
656,1394792,left,sensory,2,80.0,
657,1665129,right,motor,1,,
658,1845358,,,,,
659,2001006,left,motor,2,,
660,1271920,right,inter,head,,
661,1828978,left,inter,2,,3.0
662,813171,left,inter,head,,
663,2017398,,,,,
664,174199,left,sensory,head,92.0,
665,1271928,left,sensory,head,,
666,1493112,,,,,
667,1583223,,,,,
668,1419394,left,,3,,
669,1280134,left,sensory,2,143.0,
670,1427590,,,,,
671,1509512,right,inter,1,,7.0
672,1755270,,,,,
673,1329299,right,inter,head,83.0,7.0
674,1829012,,,,,
675,1403030,,,,,
676,1468567,right,inter,2,,1.0
677,854174,right,inter,head,127.0,
678,1427617,right,inter,2,,4.0
679,960676,,,,,
680,1968292,,,,,
681,1845414,,,,,
682,1345703,left,inter,head,160.0,
683,1484968,left,muscle,2,,
684,174256,right,ciliated,head,,
685,1411256,left,inter,2,,
686,1394876,left,inter,3,,
687,485566,left,sensory,head,113.0,
688,796862,right,sensory,head,29.0,
689,1763522,right,motor,1,156.0,
690,1304775,right,inter,head,21.0,
691,1444039,left,muscle,2,,
692,608460,right,sensory,1,80.0,
693,198864,right,ciliated,head,,
694,1272016,right,,head,,
695,67795,left,inter,head,171.0,
696,1403093,right,muscle,3,,
697,1394905,left,motor,2,62.0,
698,493786,right,inter,head,124.0,12.0
699,1468636,right,motor,2,107.0,
700,1738973,,,,,
701,1730785,left,sensory,2,91.0,
702,1444070,left,muscle,2,,
703,1566960,right,motor,2,159.0,
704,1181940,right,motor,3,61.0,
705,518390,left,epithelia,1,,
706,1427703,right,,1,,
707,1485047,left,muscle,2,,
708,944377,left,muscle,0,,
709,1435899,,,,,
