,l,r
275,1501795,1419787.0
276,1616482,1296919.0
277,518764,1714711.0
278,1501807,1280537.0
279,780915,1411609.0
280,117385,1460772.0
281,486036,1215017.0
282,1354390,1075760.0
283,60061,1567283.0
284,1108642,1370693.0
285,1354406,1845855.0
286,1092264,1616492.0
287,649899,1739384.0
288,1125044,1378941.0
289,1731263,1567361.0
290,764615,1411715.0
291,1272534,1272459.0
292,1321713,1501849.0
293,1403656,346796.0
294,1329930,1501871.0
295,1583898,1460921.0
296,1649437,1321665.0
297,183077,1321672.0
298,1436454,1272523.0
299,1420085,1329884.0
300,1395556,1731304.0
301,1264498,1477378.0
302,1305461,1616645.0
303,248696,1354525.0
304,11135,1674019.0
305,1584011,478001.0
306,1272719,1329970.0
307,1649555,1346362.0
308,1305492,1690429.0
309,355224,1313602.0
310,1436570,1567572.0
311,1280930,469848.0
312,1846187,592728.0
313,1354681,1272664.0
314,1395647,1436506.0
315,1387465,1354628.0
316,1387474,1026962.0
317,1453008,1395614.0
318,1633251,1837982.0
319,1633288,1387435.0
320,1387530,265148.0
321,1420302,1420237.0
322,1436707,1395664.0
323,1674291,568273.0
324,1420342,1117148.0
325,1797181,1166300.0
326,1436736,568290.0
327,1797187,445419.0
328,1420356,1395692.0
329,1625158,68613.0
330,1592405,1395717.0
331,1297501,633874.0
332,1338468,1395731.0
333,289898,2337812.0
334,1272941,1354776.0
335,1764464,945180.0
336,2010225,1166368.0
337,1420415,2296864.0
338,756864,1281060.0
339,1395840,19515.0
340,1485960,715837.0
341,1420440,1297489.0
342,1387674,1387613.0
343,1330333,961644.0
344,1485984,1166446.0
345,1420457,1420398.0
346,1461417,1469561.0
347,1576108,1551483.0
348,1420472,1731718.0
349,1576129,1281169.0
350,1346759,273576.0
351,1420496,1854639.0
352,1486039,1379511.0
353,1420504,1273022.0
354,1420510,2010309.0
355,1354979,1436895.0
356,1092863,2010340.0
357,1395980,1617129.0
358,945427,1330410.0
359,1953050,1420530.0
360,298270,1600760.0
361,1633569,1420539.0
362,1346858,486654.0
363,1486136,27917.0
364,1273155,1051922.0
365,1305955,1854746.0
366,1396068,1273131.0
367,1363316,1281333.0
368,445828,1600828.0
369,1224072,1600836.0
370,1281424,1355081.0
371,707997,1330509.0
372,454054,1789261.0
373,1609129,118101.0
374,11731,798041.0
375,1789424,1559897.0
376,1625586,1314140.0
377,1732095,1437030.0
378,1576450,1338735.0
379,1338884,1363312.0
380,1273359,1731953.0
381,839186,1813880.0
382,85530,568702.0
383,1322525,568710.0
384,1732125,1559953.0
385,1338917,1404314.0
386,1855014,1306016.0
387,519721,1756581.0
388,1297975,1486247.0
389,1920579,1281473.0
390,1003081,1404358.0
391,708202,1412560.0
392,1355372,1592784.0
393,1314425,1355223.0
394,1830524,1052127.0
