,head,pygidium,1,2,3
0,2015233,1278185.0,1376350.0,1466405.0,1728550.0
1,1318919,1335777.0,827510.0,1728563.0,1417265.0
2,2015241,1335790.0,1663161.0,1466424.0,1417276.0
3,1318929,1335832.0,1499326.0,2015432.0,1278038.0
4,1318938,1335845.0,1376459.0,1482990.0,1384593.0
5,1064990,1409659.0,1679615.0,1483032.0,1433751.0
6,1318965,1278598.0,1286402.0,1392932.0,1425621.0
7,1278006,1409671.0,139543.0,1417545.0,1392926.0
8,1294400,2015919.0,2015571.0,1409372.0,1401122.0
9,1318986,1278688.0,2007389.0,1483099.0,1392970.0
10,1294413,1278697.0,1499594.0,1950241.0,1442134.0
11,1327186,369396.0,1663434.0,1450597.0,1393034.0
12,24659,1278774.0,1663439.0,1491577.0,1393083.0
13,1130583,1278903.0,1827286.0,1360565.0,1278418.0
14,1024095,1434598.0,1589782.0,2015926.0,1401321.0
15,1278051,1287162.0,1827444.0,1696456.0,1409561.0
16,1359971,1344565.0,1294986.0,1950485.0,1409579.0
17,1359987,1360967.0,1950393.0,1450796.0,1434209.0
18,385141,1344599.0,1360579.0,1778482.0,1450610.0
19,1065083,1361264.0,2015966.0,1295231.0,1696562.0
20,1335430,1385968.0,172769.0,1950602.0,1631145.0
21,1302663,1279508.0,1442572.0,1393552.0,1360843.0
22,786570,1541658.0,1295161.0,2007954.0,1278947.0
23,1736843,1279518.0,1753932.0,1377175.0,1278959.0
24,1319057,1312289.0,557901.0,1565599.0,1516536.0
25,1319070,1279525.0,1000272.0,1541032.0,1385497.0
26,57508,1279543.0,1377191.0,1377198.0,1172582.0
27,344239,1279563.0,1794992.0,1336299.0,1279078.0
28,1073332,1730175.0,1328126.0,1459186.0,1393787.0
29,1736887,1386177.0,1295406.0,1360893.0,1442970.0
30,401601,1460009.0,1999956.0,1500207.0,1426630.0
31,1065166,1313126.0,1082470.0,1860656.0,1410274.0
32,57553,1387104.0,1426565.0,1975364.0,1484007.0
33,508114,1354532.0,1295517.0,1729648.0,1828100.0
34,1335507,445419.0,1582275.0,1541262.0,1279252.0
35,671957,1166446.0,1377483.0,1688755.0,1393942.0
36,1065178,1281424.0,1361146.0,1410290.0,1729830.0
37,1155295,1347263.0,1361174.0,2008327.0,1361208.0
38,73954,1732300.0,1598752.0,2008355.0,1361224.0
39,1474793,1618091.0,1328477.0,2016553.0,1434961.0
40,1466608,1274031.0,1328483.0,1410390.0,1435058.0
41,409861,1274053.0,1951105.0,689547.0,1934818.0
42,24849,1323310.0,1656212.0,2008469.0,525800.0
43,16668,1364517.0,1295823.0,2000315.0,1361412.0
44,532764,1274603.0,1549787.0,280016.0,1353303.0
45,1311006,668812.0,1361468.0,2008544.0,1435256.0
46,1335597,1275026.0,1361481.0,1525235.0,1312390.0
