,head,pygidium,1,2,3
0,sensory,sensory,muscle,motor,muscle
1,sensory,sensory,inter,motor,inter
2,sensory,sensory,inter,inter,inter
3,inter,sensory,muscle,muscle,inter
4,inter,sensory,muscle,muscle,muscle
5,inter,sensory,motor,muscle,sensory
6,sensory,inter,inter,inter,epithelia
7,sensory,sensory,motor,inter,muscle
8,inter,inter,sensory,muscle,muscle
9,sensory,sensory,inter,motor,muscle
10,sensory,epithelia,muscle,muscle,inter
11,sensory,sensory,inter,epithelia,motor
12,inter,inter,motor,inter,inter
13,sensory,inter,inter,sensory,motor
14,inter,sensory,inter,inter,inter
15,inter,motor,inter,inter,muscle
16,inter,sensory,epithelia,muscle,inter
17,sensory,sensory,inter,inter,inter
18,inter,epithelia,inter,sensory,muscle
19,sensory,epithelia,motor,inter,inter
20,muscle,epithelia,inter,inter,inter
21,sensory,sensory,sensory,inter,muscle
22,inter,sensory,inter,inter,muscle
23,motor,sensory,inter,muscle,muscle
24,sensory,sensory,motor,sensory,ciliated
25,inter,sensory,muscle,inter,ciliated
26,sensory,sensory,motor,motor,ciliated
27,inter,inter,motor,sensory,ciliated
28,sensory,sensory,inter,inter,ciliated
29,inter,sensory,sensory,inter,sensory
30,inter,sensory,sensory,sensory,sensory
31,sensory,epithelia,muscle,muscle,inter
32,sensory,muscle,inter,inter,inter
33,inter,sensory,sensory,motor,sensory
34,inter,sensory,inter,sensory,ciliated
35,epithelia,inter,inter,sensory,ciliated
36,inter,sensory,inter,sensory,muscle
37,sensory,epithelia,muscle,sensory,muscle
38,sensory,inter,motor,inter,motor
39,sensory,inter,ciliated,inter,inter
40,inter,inter,ciliated,sensory,sensory
41,sensory,sensory,inter,ciliated,muscle
42,motor,inter,ciliated,ciliated,muscle
43,inter,epithelia,motor,ciliated,motor
44,inter,inter,sensory,ciliated,muscle
45,sensory,sensory,sensory,motor,muscle
46,ciliated,inter,motor,ciliated,motor
47,inter,inter,inter,ciliated,inter
48,inter,sensory,inter,inter,inter
49,sensory,sensory,motor,ciliated,motor
50,sensory,sensory,muscle,ciliated,sensory
51,sensory,inter,muscle,ciliated,sensory
52,inter,motor,motor,motor,sensory
53,inter,sensory,sensory,sensory,sensory
54,sensory,sensory,sensory,motor,muscle
55,sensory,sensory,sensory,inter,muscle
56,sensory,sensory,sensory,muscle,muscle
57,inter,sensory,sensory,sensory,inter
58,sensory,sensory,inter,inter,inter
59,inter,sensory,inter,muscle,muscle
60,sensory,sensory,ciliated,motor,sensory
61,sensory,inter,motor,motor,inter
62,ciliated,sensory,motor,inter,muscle
63,sensory,sensory,inter,motor,inter
64,sensory,inter,inter,sensory,muscle
65,inter,sensory,inter,inter,inter
66,sensory,sensory,inter,muscle,muscle
67,inter,muscle,ciliated,sensory,motor
68,inter,sensory,sensory,inter,inter
69,sensory,motor,motor,sensory,inter
70,epithelia,sensory,inter,sensory,motor
71,inter,sensory,inter,inter,muscle
72,sensory,muscle,motor,muscle,muscle
73,ciliated,inter,inter,muscle,muscle
74,sensory,muscle,motor,motor,inter
75,sensory,muscle,sensory,muscle,inter
76,inter,motor,epithelia,ciliated,motor
77,sensory,muscle,inter,motor,inter
78,inter,muscle,inter,inter,motor
79,sensory,,inter,sensory,muscle
80,inter,,inter,muscle,muscle
81,inter,,inter,inter,inter
82,sensory,,inter,inter,motor
83,inter,,inter,motor,inter
84,sensory,,ciliated,inter,sensory
85,inter,,inter,muscle,inter
86,sensory,,inter,muscle,muscle
87,inter,,inter,inter,motor
88,inter,,inter,muscle,ciliated
89,inter,,inter,inter,inter
90,sensory,,muscle,sensory,motor
91,inter,,muscle,sensory,inter
92,inter,,motor,motor,inter
93,inter,,inter,inter,motor
94,motor,,muscle,sensory,motor
95,inter,,inter,inter,sensory
96,sensory,,muscle,inter,inter
97,sensory,,ciliated,muscle,sensory
98,inter,,motor,inter,sensory
99,sensory,,inter,muscle,inter
100,sensory,,muscle,motor,sensory
101,sensory,,inter,motor,inter
102,sensory,,muscle,sensory,inter
103,inter,,motor,muscle,inter
104,inter,,inter,motor,inter
105,sensory,,muscle,muscle,motor
106,inter,,inter,muscle,motor
107,sensory,,inter,motor,sensory
108,sensory,,motor,muscle,motor
109,sensory,,muscle,muscle,motor
110,inter,,muscle,muscle,inter
111,inter,,muscle,muscle,muscle
112,inter,,muscle,ciliated,muscle
113,inter,,motor,inter,muscle
114,inter,,motor,muscle,muscle
115,inter,,motor,inter,sensory
116,sensory,,muscle,inter,inter
117,sensory,,inter,muscle,muscle
118,sensory,,motor,inter,inter
119,sensory,,muscle,sensory,muscle
120,inter,,motor,muscle,muscle
121,sensory,,muscle,inter,muscle
122,sensory,,inter,motor,muscle
123,sensory,,inter,motor,muscle
124,inter,,inter,inter,muscle
125,sensory,,motor,muscle,muscle
126,sensory,,muscle,inter,inter
127,sensory,,motor,inter,muscle
128,sensory,,inter,motor,muscle
129,sensory,,muscle,sensory,inter
130,inter,,inter,sensory,inter
131,sensory,,muscle,inter,motor
132,sensory,,muscle,motor,muscle
133,motor,,muscle,inter,motor
134,sensory,,inter,muscle,inter
135,sensory,,muscle,muscle,inter
136,sensory,,muscle,inter,motor
137,sensory,,sensory,muscle,inter
138,sensory,,muscle,inter,muscle
139,sensory,,inter,muscle,epithelia
140,sensory,,motor,inter,inter
141,sensory,,inter,inter,sensory
142,inter,,muscle,inter,inter
143,sensory,,motor,motor,epithelia
144,inter,,muscle,inter,muscle
145,motor,,muscle,inter,muscle
146,ciliated,,inter,sensory,inter
147,motor,,inter,inter,muscle
148,inter,,inter,motor,inter
149,inter,,muscle,muscle,muscle
150,sensory,,muscle,inter,muscle
151,sensory,,muscle,muscle,muscle
152,inter,,motor,sensory,motor
153,inter,,sensory,motor,muscle
154,sensory,,inter,motor,sensory
155,sensory,,muscle,inter,inter
156,sensory,,muscle,muscle,inter
157,sensory,,inter,muscle,ciliated
158,inter,,sensory,inter,motor
159,sensory,,muscle,motor,inter
160,sensory,,muscle,sensory,inter
161,inter,,muscle,inter,sensory
162,sensory,,inter,inter,ciliated
163,ciliated,,motor,inter,sensory
164,inter,,inter,inter,inter
165,inter,,inter,muscle,sensory
166,inter,,muscle,muscle,sensory
167,inter,,muscle,inter,muscle
168,ciliated,,inter,inter,motor
169,inter,,muscle,muscle,muscle
170,inter,,muscle,motor,inter
171,inter,,muscle,muscle,inter
172,sensory,,inter,inter,motor
173,inter,,motor,inter,muscle
174,inter,,muscle,motor,inter
175,sensory,,muscle,muscle,motor
176,sensory,,muscle,inter,inter
177,inter,,inter,sensory,muscle
178,inter,,muscle,inter,muscle
179,inter,,muscle,motor,muscle
180,inter,,inter,inter,muscle
181,inter,,inter,sensory,muscle
182,sensory,,inter,motor,muscle
183,sensory,,muscle,inter,inter
184,inter,,motor,inter,muscle
185,inter,,inter,inter,muscle
186,inter,,motor,muscle,motor
187,ciliated,,muscle,inter,motor
188,sensory,,muscle,inter,inter
189,sensory,,muscle,motor,inter
190,inter,,muscle,muscle,inter
191,ciliated,,inter,motor,inter
192,inter,,inter,inter,inter
193,inter,,muscle,inter,motor
194,inter,,sensory,muscle,inter
195,sensory,,muscle,inter,inter
196,motor,,inter,motor,epithelia
197,sensory,,sensory,inter,sensory
198,sensory,,motor,inter,motor
199,sensory,,motor,muscle,inter
200,inter,,sensory,muscle,inter
201,sensory,,inter,motor,inter
202,sensory,,muscle,muscle,motor
203,inter,,muscle,inter,inter
204,inter,,muscle,inter,inter
205,inter,,inter,motor,inter
206,inter,,muscle,sensory,sensory
207,inter,,inter,muscle,muscle
208,sensory,,motor,muscle,inter
209,inter,,inter,inter,motor
210,ciliated,,muscle,muscle,motor
211,ciliated,,sensory,muscle,inter
212,inter,,sensory,inter,sensory
213,sensory,,muscle,inter,motor
214,sensory,,inter,motor,muscle
215,sensory,,inter,inter,inter
216,inter,,inter,muscle,muscle
217,sensory,,muscle,motor,inter
218,inter,,inter,muscle,muscle
219,sensory,,sensory,inter,muscle
220,sensory,,inter,inter,ciliated
221,inter,,sensory,ciliated,inter
222,inter,,inter,inter,muscle
223,inter,,inter,inter,motor
224,sensory,,inter,sensory,muscle
225,sensory,,inter,inter,inter
226,inter,,inter,motor,inter
227,inter,,sensory,inter,inter
228,inter,,inter,inter,sensory
229,sensory,,sensory,muscle,sensory
230,inter,,muscle,inter,sensory
231,inter,,inter,inter,sensory
232,sensory,,muscle,inter,sensory
233,inter,,motor,inter,inter
234,motor,,muscle,muscle,inter
235,sensory,,muscle,inter,inter
236,inter,,muscle,sensory,muscle
237,sensory,,inter,sensory,muscle
238,inter,,muscle,inter,muscle
239,sensory,,inter,inter,inter
240,sensory,,inter,muscle,muscle
241,inter,,motor,muscle,muscle
242,inter,,inter,inter,inter
243,inter,,inter,motor,inter
244,inter,,muscle,inter,inter
245,inter,,muscle,motor,motor
246,motor,,inter,muscle,inter
247,inter,,inter,inter,inter
248,sensory,,muscle,motor,motor
249,inter,,inter,inter,muscle
250,inter,,muscle,muscle,muscle
251,inter,,muscle,inter,inter
252,inter,,inter,motor,muscle
253,sensory,,motor,inter,sensory
254,ciliated,,sensory,inter,sensory
255,inter,,muscle,motor,motor
256,sensory,,inter,motor,motor
257,sensory,,inter,inter,muscle
258,epithelia,,muscle,motor,inter
259,inter,,muscle,inter,inter
260,sensory,,inter,inter,inter
261,inter,,inter,muscle,motor
262,inter,,motor,muscle,sensory
263,sensory,,muscle,inter,inter
264,sensory,,sensory,muscle,muscle
265,inter,,sensory,muscle,sensory
266,sensory,,muscle,muscle,sensory
267,sensory,,sensory,motor,motor
268,inter,,sensory,inter,muscle
269,inter,,inter,inter,motor
270,sensory,,motor,inter,motor
271,sensory,,inter,inter,inter
272,inter,,muscle,muscle,inter
273,inter,,inter,inter,epithelia
274,ciliated,,inter,motor,motor
275,motor,,inter,motor,epithelia
276,ciliated,,muscle,inter,motor
277,epithelia,,inter,muscle,inter
278,inter,,muscle,inter,muscle
279,sensory,,inter,inter,inter
280,sensory,,motor,sensory,sensory
281,muscle,,muscle,motor,motor
282,inter,,inter,inter,motor
283,sensory,,muscle,inter,inter
284,inter,,muscle,muscle,ciliated
285,sensory,,motor,ciliated,inter
286,inter,,inter,muscle,inter
287,sensory,,sensory,muscle,inter
288,sensory,,inter,inter,inter
289,inter,,muscle,motor,epithelia
290,sensory,,muscle,motor,muscle
291,sensory,,inter,muscle,inter
292,ciliated,,motor,motor,inter
293,sensory,,inter,motor,muscle
294,sensory,,muscle,muscle,muscle
295,inter,,motor,motor,muscle
296,inter,,motor,inter,muscle
297,sensory,,muscle,inter,sensory
298,sensory,,motor,muscle,motor
