,skids,side,class,segment,type,group
151,1335777,left,sensory,pygidium,80.0,9.0
152,672228,right,sensory,head,41.0,
153,1524203,right,,3,,
154,2294251,left,inter,head,,13.0
155,1335790,left,sensory,pygidium,,9.0
156,1286644,,,,,
157,1327607,right,sensory,head,30.0,
158,1450492,right,muscle,3,,
159,1335807,left,sensory,pygidium,93.0,9.0
160,1303054,left,,head,,
161,1204752,right,muscle,0,,
162,762387,right,inter,head,,14.0
163,1589782,right,inter,1,,
164,1335832,left,sensory,pygidium,,9.0
165,1409561,right,inter,3,,1.0
166,1770014,right,sensory,0,,16.0
167,1950241,left,sensory,2,,
168,1294885,left,,head,,
169,1335845,left,sensory,pygidium,,9.0
170,1950245,left,inter,2,,
171,1491500,,,,,
172,844338,left,epithelia,1,,
173,746037,right,,head,,
174,1483318,,,,,
175,442961,right,sensory,head,48.0,
176,1417810,right,sensory,head,168.0,
177,1450580,left,inter,1,,
178,705116,right,inter,2,,1.0
179,1294947,right,ciliated,head,,
180,1278565,left,sensory,head,,
181,1057387,left,muscle,2,,
182,1155695,left,sensory,head,29.0,
183,1303153,right,inter,head,,
184,1450610,right,inter,3,,3.0
185,1827444,left,inter,1,,1.0
186,1294966,left,,head,,
187,1491577,right,inter,2,,2.0
188,1409659,right,inter,pygidium,146.0,3.0
189,1434239,,,,,
190,1294978,right,,head,,
191,1278598,left,sensory,pygidium,80.0,9.0
192,1409671,right,inter,pygidium,146.0,3.0
193,1294986,left,motor,1,142.0,
194,2220688,,,,,
195,1278611,right,,,,
196,1327767,right,sensory,head,163.0,
197,1393309,right,muscle,3,,
198,582306,right,muscle,3,,
199,1426084,,,,,
200,1286825,right,inter,head,,
201,1417899,,,,,
202,1950381,left,,1,,
203,1704627,right,inter,head,171.0,
204,1360565,right,sensory,2,81.0,
205,1393334,right,muscle,3,,
206,541367,right,sensory,head,29.0,
207,2015926,left,inter,2,,1.0
208,1278649,right,epithelia,head,,
209,1950393,left,inter,1,,1.0
210,1729214,right,inter,head,,
211,1360579,left,sensory,1,95.0,
212,1721031,,,,,
213,1696456,left,inter,2,155.0,3.0
214,1352396,left,muscle,0,,
215,983759,right,sensory,head,114.0,
216,1639124,left,sensory,0,,18.0
217,180953,right,ciliated,head,,
218,2015966,left,inter,1,,7.0
219,1278688,left,sensory,pygidium,101.0,9.0
220,172769,left,inter,1,78.0,7.0
221,1319649,right,sensory,head,29.0,
222,1630952,left,epithelia,pygidium,,
223,1278697,left,sensory,pygidium,101.0,9.0
224,1319657,right,sensory,head,103.0,
225,74477,left,inter,head,,
226,770802,right,sensory,head,34.0,
227,369396,right,inter,pygidium,72.0,1.0
228,1426168,,,,,
229,1311483,right,inter,head,127.0,
230,1123072,right,sensory,head,173.0,
231,1303297,left,inter,head,,
232,1360640,,,,,
233,1442572,right,motor,1,,
234,1794836,,,,,
235,1950485,left,inter,2,,
236,2016023,,,,,
237,1319704,right,inter,head,,
238,2016028,,,,,
239,115486,left,sensory,head,37.0,
240,1450796,right,inter,2,,1.0
241,942898,left,muscle,1,,
242,1033010,right,muscle,2,,
243,1778482,right,sensory,2,95.0,
244,1278774,left,inter,pygidium,146.0,3.0
245,246584,right,inter,head,6.0,
246,1311558,right,sensory,head,,
247,1753932,right,motor,1,,
248,557901,right,motor,1,162.0,
249,1000272,right,inter,1,,2.0
250,992087,left,ciliated,3,,
251,992096,left,ciliated,3,,
252,2016098,,,,,
253,1352547,,,,,
254,1409892,,,,,
255,1172329,,,,,
256,893804,right,inter,head,,
257,1311597,right,sensory,head,,8.0
258,41848,left,inter,head,126.0,
259,557944,right,inter,head,,12.0
260,992125,right,ciliated,3,,
261,1295231,right,inter,2,,4.0
262,2294656,left,sensory,1,91.0,
263,1328001,right,ciliated,3,,
264,1688455,right,,1,,
265,1950602,right,motor,2,162.0,
266,992139,right,ciliated,3,,
267,1942411,,,,,
268,1377167,left,sensory,2,95.0,
269,1393552,right,inter,2,,3.0
270,2007954,right,inter,2,,3.0
271,1377175,left,sensory,2,95.0,
272,1647512,left,muscle,2,,
273,1704860,left,inter,head,22.0,12.0
274,1565599,left,inter,2,,2.0
275,1377191,left,sensory,1,94.0,
276,1541032,left,motor,2,159.0,
277,295849,right,sensory,head,52.0,
278,1631145,left,sensory,3,95.0,
279,1950633,,,,,
280,1377198,right,sensory,2,94.0,
281,1393583,,,,,
282,1393588,,,,,
283,1278903,left,sensory,pygidium,101.0,9.0
284,328632,right,inter,head,2.0,
285,1418168,,,,,
286,2294716,,,,,
287,1385409,,,,,
288,1172421,,,,,
289,1319881,right,inter,head,,
290,1360843,left,sensory,3,80.0,
291,1311697,right,inter,head,,
292,1655775,right,,1,,
293,1729505,,,,,
294,656354,left,motor,head,,
295,1278947,left,inter,3,,7.0
296,1500133,,,,,
297,1434598,right,motor,pygidium,64.0,
298,1418215,,,,,
299,1336299,left,sensory,2,89.0,
300,1278959,right,inter,3,,4.0
301,1295346,,,,,
302,1516536,left,sensory,3,91.0,
303,1287162,left,sensory,pygidium,,9.0
304,1377274,left,inter,head,,
305,1401852,right,sensory,2,71.0,
306,1360893,left,sensory,2,80.0,
307,1721342,left,sensory,head,32.0,
308,2294784,left,sensory,head,,8.0
309,1336321,right,inter,head,144.0,13.0
310,1467402,right,,,,
311,1410068,,,,,
312,2016279,,,,,
313,1549338,right,epithelia,0,,
314,2016288,,,,,
315,1565731,,,,,
316,943145,left,muscle,1,,
317,1295406,left,inter,1,,
318,1500207,left,inter,2,,3.0
319,1860656,left,inter,2,169.0,3.0
320,1156145,left,sensory,head,29.0,
321,992309,right,ciliated,3,,
322,1344565,right,sensory,pygidium,98.0,9.0
323,1385530,left,epithelia,pygidium,,
324,1410108,,,,,
325,1999932,right,sensory,1,95.0,
326,992318,left,ciliated,3,,
327,476224,right,sensory,head,163.0,
328,1385536,left,epithelia,pygidium,,
329,1975364,left,sensory,2,94.0,
330,1385542,left,epithelia,pygidium,,
331,1360967,right,sensory,pygidium,,9.0
332,2313924,,,,,
333,1590351,right,muscle,3,,
334,1074256,left,sensory,head,13.0,
335,992337,left,ciliated,2,,
336,1279058,,,,,
337,1999956,right,inter,1,,
338,1344599,right,sensory,pygidium,98.0,9.0
339,992344,left,ciliated,2,,
340,1090653,left,sensory,head,29.0,
341,1623138,left,muscle,3,,
342,992355,left,ciliated,2,,
343,1082470,left,inter,1,,1.0
344,1279078,left,motor,3,,
345,1303655,left,inter,head,,
346,590953,right,inter,head,57.0,
347,992365,left,ciliated,2,,
348,1729648,left,motor,2,67.0,
349,1688689,right,sensory,head,100.0,
350,992374,right,ciliated,2,,
351,1393787,left,inter,3,,3.0
352,992383,right,ciliated,2,,
353,1426565,right,inter,1,,2.0
354,1541262,left,inter,2,,
355,992401,right,ciliated,2,,
356,1647763,left,muscle,1,,
357,1336469,,,,,
358,1459349,,,,,
359,1311897,right,inter,head,,
360,1442970,right,sensory,3,89.0,
361,1295517,left,motor,1,63.0,
362,1639584,right,sensory,head,31.0,
363,992419,right,ciliated,2,,
364,992429,left,ciliated,2,,
365,1311918,,,,,
366,189615,right,sensory,head,96.0,
367,320687,left,sensory,head,,
368,992438,right,ciliated,1,,
369,1623227,left,muscle,3,,
370,992446,right,ciliated,1,,
371,1582275,left,inter,1,,4.0
372,992455,left,ciliated,1,,
373,1377483,right,motor,1,,
374,1590476,right,muscle,3,,
375,1860825,,,,,
376,672986,right,inter,head,,
377,1860829,,,,,
378,1410274,right,motor,3,,
379,1484007,left,,3,,3.0
380,1623277,left,muscle,3,,
381,1393903,right,muscle,3,,
382,1410290,right,motor,2,,
383,296186,left,inter,head,,13.0
384,1361146,right,sensory,1,91.0,
385,34044,right,inter,head,2.0,
386,1336580,left,,1,,
387,1828100,left,motor,3,128.0,
388,2008327,left,sensory,2,71.0,
389,361741,left,inter,head,,13.0
390,156947,right,sensory,0,94.0,16.0
391,1279252,left,inter,3,,7.0
392,1361174,left,sensory,1,91.0,
393,1393942,left,inter,3,,3.0
394,1860886,left,inter,head,117.0,12.0
395,1287449,right,inter,head,,12.0
396,1459484,,,,,
397,1598752,left,motor,1,151.0,
398,2008355,right,motor,2,,
399,1729830,right,motor,3,,
400,1328429,right,sensory,head,,15.0
401,1459509,,,,,
402,2008373,,,,,
403,1361208,right,sensory,3,91.0,
404,1410367,,,,,
405,2016575,,,,,
406,1156418,left,sensory,head,163.0,
407,2295109,right,,head,,
408,58694,left,sensory,head,1.0,
409,1361224,left,sensory,3,80.0,
410,1434961,right,sensory,3,71.0,
411,1361239,right,sensory,3,80.0,
412,984413,right,sensory,head,114.0,
413,1328477,left,inter,1,,
414,1328483,left,inter,1,,7.0
415,1303909,left,inter,head,21.0,
416,1680741,right,,1,,
417,2008424,,,,,
418,1361264,left,sensory,pygidium,91.0,9.0
419,1434995,,,,,
420,615803,right,sensory,head,29.0,
421,1402236,,,,,
422,2016638,,,,,
423,1951105,left,motor,1,165.0,
424,1516938,,,,,
425,689547,left,inter,2,,3.0
426,1385867,,,,,
427,1836430,,,,,
428,1631633,left,muscle,2,,
429,1336723,left,sensory,head,24.0,
430,1590675,right,muscle,3,,
431,2008469,left,sensory,2,89.0,
432,181663,left,sensory,head,96.0,
433,1361317,left,inter,head,120.0,
434,1574311,left,muscle,3,,
435,1648045,,,,,
436,1951150,,,,,
437,2033073,,,,,
438,1295794,,,,,
439,1582515,,,,,
440,943540,left,muscle,0,,
441,1312181,right,sensory,head,49.0,
442,2008501,left,,,,
443,804282,right,muscle,1,,
444,1312187,right,sensory,head,97.0,
445,738760,left,sensory,head,88.0,15.0
446,550345,left,sensory,head,29.0,
447,1156554,left,sensory,head,138.0,8.0
448,1820104,,,,,
449,280016,right,inter,2,,
450,1238488,left,muscle,1,,
451,1574360,right,muscle,3,,
452,1549787,left,motor,1,,
453,1517020,left,,2,,
454,1230301,right,muscle,2,,
455,1648091,,,,,
456,1312224,right,inter,head,,
457,2008544,right,motor,2,162.0,
458,1934818,right,inter,3,,1.0
459,525800,left,inter,3,79.0,7.0
460,1525235,left,motor,2,,
461,1574394,right,muscle,3,,
462,58877,left,sensory,head,1.0,
463,1959421,left,inter,2,,1.0
464,1361412,left,sensory,3,80.0,
465,1476102,left,,2,,3.0
466,1787398,,,,,
467,837128,left,sensory,head,31.0,
468,1525257,right,motor,2,62.0,
469,2008588,left,sensory,2,80.0,
470,1279508,right,sensory,pygidium,98.0,9.0
471,2008597,,,,,
472,1541658,right,sensory,pygidium,,9.0
473,1689115,,,,,
474,140828,right,motor,head,85.0,
475,1279518,right,sensory,pygidium,80.0,9.0
476,1312289,right,inter,pygidium,147.0,1.0
477,1279525,right,sensory,pygidium,98.0,9.0
478,26163,right,sensory,head,1.0,
479,1361460,left,sensory,1,80.0,
480,1279543,right,sensory,pygidium,98.0,9.0
481,1353272,,,,,
482,452157,left,sensory,head,129.0,
483,673344,left,sensory,head,141.0,
484,493121,right,inter,2,,7.0
485,1631808,right,muscle,2,,
486,1656387,,,,,
487,1959492,right,sensory,head,,
488,2008640,left,sensory,2,71.0,
489,1361481,left,sensory,1,80.0,
490,1328714,right,sensory,head,29.0,
491,1279563,right,sensory,pygidium,101.0,9.0
492,1377866,right,sensory,head,16.0,
493,1295953,left,inter,2,,3.0
494,1361489,right,sensory,1,91.0,
495,1443411,right,sensory,1,71.0,
496,452180,right,sensory,head,139.0,
497,1459796,right,epithelia,pygidium,,
498,1353303,right,inter,3,,5.0
499,58968,left,sensory,head,1.0,
500,1361497,right,sensory,1,80.0,
501,2008663,left,sensory,2,80.0,
502,1279584,right,muscle,pygidium,,
503,1721958,,,,,
504,1394281,left,sensory,2,91.0,
505,1312363,left,inter,2,177.0,4.0
506,1369708,,,,,
507,2008684,,,,,
508,386671,left,inter,head,58.0,13.0
509,2016881,right,inter,1,,3.0
510,1738354,,,,,
511,1656440,left,inter,1,,3.0
512,2131576,,,,,
513,1123964,right,sensory,head,29.0,
514,1279612,right,muscle,3,,
515,1345150,left,inter,head,,
516,1730175,left,sensory,pygidium,,9.0
517,2016896,left,motor,head,,
518,198277,right,ciliated,head,,
519,1312390,left,inter,3,,7.0
520,1435271,right,muscle,3,,
521,2016902,right,motor,head,,
522,108173,right,inter,head,125.0,
523,575119,right,muscle,2,,
524,1975953,,,,,
525,1640084,left,,,,
526,1943188,,,,,
527,1050266,,,,,
528,1386139,left,inter,3,,4.0
529,1648285,,,,,
530,1582753,,,,,
531,1697442,,,,,
532,1590954,right,muscle,3,,
533,2008748,,,,,
534,1115832,right,inter,head,,
535,1459897,,,,,
536,83642,left,sensory,head,111.0,
537,1386171,,,,,
538,1435324,left,motor,3,,
539,1353407,,,,,
540,1402559,left,sensory,head,163.0,
541,1386177,left,sensory,pygidium,115.0,9.0
542,1656520,left,,1,,
543,1656524,left,,1,,
544,1345237,right,inter,head,,
545,1328854,right,inter,head,171.0,
546,1410776,right,inter,3,,3.0
547,607961,right,ciliated,1,,
548,493278,right,sensory,head,46.0,
549,796391,right,sensory,head,100.0,
550,247535,left,sensory,head,134.0,
551,1320688,,,,,
552,57341,right,sensory,head,33.0,
553,1312505,right,motor,1,,
554,1976063,right,inter,3,,1.0
555,493317,left,inter,head,,
556,1328909,right,sensory,head,,
557,1730319,,,,,
558,1533713,,,,,
559,1591058,left,,2,,
560,1320728,,,,,
561,1435418,left,motor,3,,
562,1500956,right,,2,,
563,1460009,right,inter,pygidium,146.0,3.0
564,1419056,left,sensory,head,137.0,
565,1345331,,,,,
566,1681204,,,,,
567,1607477,right,muscle,2,,
568,1345337,right,motor,2,,
569,1648444,left,muscle,3,,
570,1779518,left,motor,1,,
571,1435458,left,muscle,3,,
572,1312586,right,inter,1,,3.0
573,1419083,right,muscle,3,,
574,1394518,left,muscle,2,,
575,575319,right,ciliated,2,,
576,1427287,left,inter,3,,
577,1558360,right,,0,,
578,1386336,left,inter,3,,7.0
579,1468265,right,motor,2,,
580,1558377,right,,0,,
581,1402736,left,inter,2,,
582,1582964,right,inter,1,,2.0
583,1312647,right,sensory,2,90.0,
584,411531,left,inter,head,57.0,
585,1460107,right,muscle,2,,
586,1378190,right,inter,1,,2.0
587,223119,,,,,
588,1419152,left,sensory,head,112.0,
589,1427342,,,,,
590,1460113,left,motor,3,,
591,542612,right,ciliated,head,,
592,1304469,right,inter,head,126.0,
593,1337238,left,inter,head,118.0,
594,1435540,right,,1,,
595,1173400,right,inter,3,,
596,690083,,,,,
597,1525669,left,inter,2,169.0,3.0
598,1312678,left,inter,1,60.0,7.0
599,1271721,left,inter,head,,
600,1337258,left,inter,head,,12.0
601,608173,right,ciliated,1,,
602,206767,left,ciliated,head,,
603,1673139,left,,2,,
604,190388,,,,,
605,1345461,right,inter,head,152.0,12.0
606,1845175,right,inter,2,,
607,1435591,right,motor,3,,
608,1583047,left,muscle,3,,
609,1755080,left,motor,2,,
610,1337294,left,inter,head,122.0,
611,1378254,,,,,
612,2000850,left,inter,2,154.0,3.0
613,1443798,left,muscle,3,,
614,575448,right,muscle,2,,
615,1320921,left,inter,head,,13.0
616,1312731,left,sensory,1,71.0,
617,1533917,left,,1,,
618,1271778,right,sensory,head,148.0,
619,370662,left,inter,head,57.0,
620,1443817,,,,,
621,1320938,left,inter,head,,
622,1312751,,,,,
623,2000882,left,,2,,
624,1697791,,,,,
625,600071,right,muscle,2,,
626,1329166,left,inter,2,,7.0
627,2000911,left,,3,,
628,1542162,,,,,
629,436248,left,sensory,head,39.0,
630,1280027,right,motor,1,59.0,
631,1370141,,,,,
632,1632286,right,muscle,2,,
633,2033694,,,,,
634,1558573,,,,,
635,1386544,left,,3,,4.0
636,1329204,left,sensory,head,,
637,1411126,right,inter,3,,4.0
638,2017334,,,,,
639,1845305,right,inter,2,,1.0
640,1697854,right,motor,3,62.0,
641,1411136,right,inter,3,,
642,1615940,,,,,
643,1837125,right,sensory,2,80.0,
644,1271884,right,inter,head,,
645,1304654,left,inter,1,109.0,
646,1484878,left,muscle,0,,
647,1525838,,,,,
648,1321044,left,inter,head,,
649,1468500,right,,2,,6.0
650,1370203,right,sensory,3,,
651,1583195,right,inter,1,,6.0
652,1329247,right,inter,head,,
653,1394792,left,sensory,2,80.0,
654,1665129,right,motor,1,,
655,1845358,,,,,
656,2001006,left,motor,2,,
657,1271920,right,inter,head,,
658,1828978,left,inter,2,,3.0
659,813171,left,inter,head,,
660,2017398,,,,,
661,174199,left,sensory,head,92.0,
662,1271928,left,sensory,head,,
663,1493112,,,,,
664,1583223,,,,,
665,1419394,left,,3,,
666,1280134,left,sensory,2,143.0,
667,1427590,,,,,
668,1509512,right,inter,1,,7.0
669,1755270,,,,,
670,1329299,right,inter,head,83.0,7.0
671,1829012,,,,,
672,1403030,,,,,
673,1468567,right,inter,2,,1.0
674,854174,right,inter,head,127.0,
675,1427617,right,inter,2,,4.0
676,960676,,,,,
677,1968292,,,,,
678,1845414,,,,,
679,1345703,left,inter,head,160.0,
680,1484968,left,muscle,2,,
681,174256,right,ciliated,head,,
682,1411256,left,inter,2,,
683,1394876,left,inter,3,,
684,485566,left,sensory,head,113.0,
685,796862,right,sensory,head,29.0,
686,1763522,right,motor,1,156.0,
687,1304775,right,inter,head,21.0,
688,1444039,left,muscle,2,,
689,608460,right,sensory,1,80.0,
690,198864,right,ciliated,head,,
691,1272016,right,,head,,
692,67795,left,inter,head,171.0,
693,1403093,right,muscle,3,,
694,1394905,left,motor,2,62.0,
695,493786,right,inter,head,124.0,12.0
696,1468636,right,motor,2,107.0,
697,1738973,,,,,
698,1730785,left,sensory,2,91.0,
699,1444070,left,muscle,2,,
700,1566960,right,motor,2,159.0,
701,1181940,right,motor,3,61.0,
702,518390,left,epithelia,1,,
703,1427703,right,,1,,
704,1485047,left,muscle,2,,
705,944377,left,muscle,0,,
706,1435899,,,,,
707,1566972,right,muscle,2,,
708,2017535,right,inter,head,,12.0
709,936192,left,ciliated,3,,
710,1427724,,,,,
711,1394963,left,motor,2,106.0,
712,59671,right,sensory,head,1.0,
713,1632536,left,muscle,2,,
714,108826,left,motor,head,85.0,
715,1567002,right,muscle,2,,
716,1730843,right,inter,3,,4.0
717,1239327,left,motor,3,65.0,
718,1648927,left,muscle,2,,
719,780577,right,sensory,head,172.0,
720,370978,right,sensory,pygidium,54.0,9.0
721,1673505,right,muscle,2,,
722,1706274,,,,,
723,10536,left,sensory,head,1.0,
724,575787,right,ciliated,2,,
725,1829164,right,inter,1,150.0,2.0
726,1550645,,,,,
727,837942,left,sensory,head,13.0,
728,1304890,,,,,
729,1419579,,,,,
730,1452348,right,epithelia,pygidium,,
731,1845563,left,inter,2,109.0,
732,1648958,left,muscle,2,,
733,1345862,left,sensory,,167.0,
734,1280329,right,inter,1,,1.0
735,108877,,,,,
736,1567054,left,,2,,
737,35154,right,inter,head,,
738,1730901,left,sensory,head,100.0,15.0
739,1116504,right,sensory,head,,
740,1157465,left,inter,head,,
741,1567066,right,,,,
742,1304924,right,inter,2,79.0,7.0
743,1829214,right,inter,2,154.0,3.0
744,1485154,left,muscle,0,,
745,1460581,,,,,
746,1313126,left,inter,pygidium,146.0,3.0
747,1321320,,,,,
748,1370473,left,inter,head,,
749,1829226,,,,,
750,575853,right,muscle,2,,
751,1599859,,,,,
752,313716,right,inter,head,7.0,
753,1419639,left,inter,1,,2.0
754,1362300,left,inter,3,,3.0
755,1403261,right,inter,1,,2.0
756,1952126,,,,,
757,1304968,right,inter,head,23.0,
758,1304979,right,inter,head,,
759,1477012,,,,,
760,1395094,right,inter,3,,3.0
761,1460631,right,inter,2,,1.0
762,1739164,left,,2,,1.0
763,1304990,right,inter,1,78.0,7.0
764,1952161,left,sensory,2,,
765,1444259,,,,,
766,1952169,,,,,
767,1763759,right,motor,3,159.0,
768,1493426,left,inter,1,,6.0
769,27064,right,sensory,head,1.0,
770,1739198,left,inter,1,158.0,4.0
771,1051076,right,muscle,2,,
772,1026501,right,motor,3,64.0,
773,1337798,right,sensory,3,80.0,
774,518599,left,ciliated,1,,
775,1386950,right,inter,3,,4.0
776,1731014,right,inter,2,,6.0
777,92619,left,inter,head,124.0,12.0
778,1337804,right,sensory,3,91.0,
779,1436108,left,motor,2,165.0,
780,174545,left,ciliated,head,,
781,1329618,left,,,,
782,1386964,left,,3,,
783,1018325,left,inter,1,,4.0
784,1567189,right,motor,2,63.0,
785,1354209,left,inter,2,,1.0
786,207330,left,ciliated,head,,
787,1133028,,,,,
788,1567204,right,muscle,2,,
789,1952229,,,,,
790,1378791,left,inter,1,,5.0
791,2001380,left,inter,2,,1.0
792,2255347,,,,,
793,1731062,right,sensory,3,71.0,
794,1624567,left,inter,2,108.0,
795,584184,left,inter,head,,
796,1411577,right,sensory,head,32.0,
797,2001402,,,,,
798,1214973,left,sensory,head,13.0,
799,1477119,right,motor,2,,
800,1845760,right,sensory,2,71.0,
801,1329666,right,sensory,head,,15.0
802,1321475,right,inter,head,75.0,13.0
803,1427971,left,,,,
804,1690116,right,sensory,2,91.0,
805,1075718,left,sensory,head,27.0,
806,190983,right,inter,head,23.0,
807,2009602,right,inter,2,,3.0
808,1411593,right,sensory,head,32.0,
809,1419787,right,sensory,head,,
810,1296919,right,inter,1,,
811,1714711,right,inter,1,,
812,1280537,right,inter,head,,
813,1411609,right,inter,head,,
814,1460772,right,motor,2,64.0,
815,1215017,right,inter,head,140.0,13.0
816,1968682,left,inter,2,,
817,1411627,left,sensory,head,29.0,
818,1075760,right,sensory,head,13.0,
819,1591857,,,,,
820,1567283,right,muscle,2,,
821,1821239,,,,,
822,1321532,left,inter,head,,12.0
823,1370693,right,inter,0,,1.0
824,1460810,left,muscle,2,,
825,1616478,,,,,
826,1657438,,,,,
827,387680,left,inter,head,,
828,1387104,left,inter,pygidium,147.0,
829,1608290,left,inter,1,,7.0
830,1501795,left,muscle,1,,
831,1616482,left,inter,2,,
832,1845855,right,inter,3,,1.0
833,518764,left,muscle,2,,
834,1616492,right,inter,2,,7.0
835,1501807,left,muscle,1,,
836,1608303,,,,,
837,780915,left,inter,head,,12.0
838,1976948,,,,,
839,1739384,right,motor,1,151.0,
840,1378941,right,muscle,2,,
841,1567361,right,inter,1,,
842,1411715,right,sensory,head,137.0,
843,117385,left,inter,head,53.0,12.0
844,1272459,right,inter,head,117.0,12.0
845,1632907,left,,pygidium,,
846,486036,left,sensory,head,29.0,
847,1354390,left,inter,head,21.0,
848,1501849,right,muscle,0,,
849,60061,left,motor,head,9.0,
850,273055,left,,head,,
851,1338017,left,,1,,
852,1108642,left,sensory,head,13.0,
853,1354406,left,inter,head,120.0,
854,1796774,,,,,
855,1092264,left,sensory,head,103.0,
856,649899,left,inter,head,,
857,346796,right,sensory,head,,8.0
858,1378988,,,,,
859,1354415,,,,,
860,1501871,right,muscle,1,,
861,1125044,left,sensory,head,13.0,
862,1460921,right,inter,2,,
863,1280701,,,,,
864,1731263,left,sensory,3,,
865,2312895,,,,,
866,1321665,right,inter,head,124.0,12.0
867,764615,left,inter,2,,1.0
868,1321672,right,inter,head,123.0,
869,1387208,right,,3,,
870,1403591,,,,,
