,skids,side,class,segment,type,group
0,2015233,left,sensory,head,100.0,
1,1548290,left,muscle,1,,
2,1318919,left,sensory,head,88.0,15.0
3,2015241,left,sensory,head,100.0,
4,1294348,,,,,
5,1769485,right,sensory,,,
6,1622033,right,muscle,3,,
7,2007060,right,inter,head,,
8,1589273,,,,,
9,1064990,right,inter,head,116.0,
10,1564703,left,,head,,
11,1728550,left,inter,3,105.0,
12,1417265,left,inter,3,,5.0
13,1728563,right,motor,2,165.0,
14,1318965,left,inter,head,,
15,1278006,left,sensory,head,80.0,
16,1400886,,,,,
17,1466424,right,motor,2,64.0,
18,1458234,right,,1,,
19,1417276,right,inter,3,,3.0
20,1507391,right,muscle,3,,
21,1294400,right,sensory,head,163.0,
22,1065030,right,inter,2,169.0,3.0
23,1318986,left,inter,head,,
24,1400907,,,,,
25,1294413,right,sensory,head,163.0,
26,1441872,right,muscle,2,,
27,24659,right,sensory,head,1.0,
28,1278038,left,sensory,3,143.0,
29,1130583,left,sensory,head,49.0,
30,1417306,,,,,
31,1433691,left,,1,,
32,1376350,right,inter,1,,3.0
33,1024095,left,inter,head,,
34,1278051,left,sensory,head,96.0,
35,1851492,,,,,
36,1433701,left,,1,,
37,1392742,left,epithelia,3,,
38,1417326,,,,,
39,1687663,,,,,
40,1392754,left,muscle,3,,
41,1359987,right,inter,head,,
42,385141,left,inter,head,125.0,12.0
43,827510,left,inter,1,155.0,3.0
44,1359995,right,inter,head,,
45,1720448,,,,,
46,1646725,left,muscle,2,,
47,2007173,right,,0,,16.0
48,1302663,left,sensory,head,,
49,786570,right,inter,head,,
50,557195,left,muscle,1,,
51,909450,right,muscle,3,,
52,1736843,left,sensory,head,100.0,15.0
53,1204373,right,ciliated,0,,
54,942233,left,muscle,1,,
55,1409181,right,muscle,head,,
56,1319070,right,sensory,head,15.0,
57,57508,right,inter,head,,
58,1409196,right,muscle,0,,
59,344239,left,motor,head,84.0,
60,1671351,left,muscle,3,,
61,1736887,left,sensory,head,100.0,
62,1663161,right,motor,1,,
63,1499326,right,,1,,7.0
64,1851582,,,,,
65,401601,right,inter,head,,
66,1417409,,,,,
67,573635,right,muscle,0,,
68,1376459,right,inter,1,,6.0
69,1818828,,,,,
70,1065166,left,sensory,head,50.0,
71,57553,left,inter,head,57.0,
72,508114,left,sensory,head,28.0,
73,1310931,,,,,
74,1335507,right,inter,head,122.0,
75,671957,right,inter,head,104.0,
76,1425621,right,inter,3,,7.0
77,2015448,,,,,
78,1065178,left,sensory,head,13.0,
79,1286364,right,,0,,
80,1155295,left,sensory,head,,
81,73954,left,inter,head,104.0,
82,2015461,,,,,
83,1925350,,,,,
84,1278185,right,sensory,pygidium,98.0,9.0
85,1474793,right,inter,head,,
86,1409275,left,epithelia,head,,
87,1646847,left,muscle,2,,
88,1679615,right,motor,1,64.0,
89,2007296,,,,,
90,409861,left,inter,head,104.0,
91,1925391,,,,,
92,24849,right,sensory,head,1.0,
93,385300,,,,,
94,991508,,,,,
95,139543,right,sensory,1,38.0,
96,1483032,right,inter,2,,1.0
97,1786137,,,,,
98,16668,right,sensory,head,1.0,
99,532764,right,sensory,head,44.0,
100,1311006,left,inter,head,117.0,12.0
101,1392926,left,motor,3,,
102,1433886,,,,,
103,1401122,left,inter,3,,3.0
104,1392932,right,inter,2,,7.0
105,1392938,,,,,
106,1335597,right,sensory,head,,
107,2007344,left,motor,head,166.0,
108,1360179,left,inter,head,118.0,
109,1409346,right,inter,head,,
110,1392970,left,motor,3,64.0,
111,16719,left,sensory,head,35.0,
112,1728847,left,muscle,2,,
113,1352017,,,,,
114,1204562,left,ciliated,head,,
115,2015571,left,inter,1,73.0,7.0
116,1442134,left,inter,3,,7.0
117,237911,,inter,head,42.0,
118,557403,left,muscle,1,,
119,1409372,right,motor,2,64.0,
120,1335645,left,inter,head,121.0,
121,2007389,left,inter,1,,4.0
122,1368417,left,muscle,2,,
123,1433958,,,,,
124,1704296,,,,,
125,1450345,right,muscle,3,,
126,1016172,left,motor,1,,
127,1204589,left,ciliated,0,,
128,1409405,,,,,
129,1212800,left,sensory,head,24.0,
130,1597825,,,,,
131,1393034,left,inter,3,,5.0
132,1737105,right,sensory,head,36.0,
133,2294161,,,,,
134,1089948,left,sensory,head,29.0,
135,1335708,,,,,
136,2294176,right,inter,head,,13.0
137,1647016,left,epithelia,2,,
138,1261995,left,inter,head,,
139,1294765,,,,,
140,25010,right,sensory,head,1.0,
141,1434038,,,,,
142,1393083,right,inter,3,,5.0
143,1393089,right,,3,,
144,1499594,left,inter,1,,2.0
145,1417675,left,inter,2,,2.0
146,1663434,right,inter,1,,
147,1409488,,,,,
148,1827286,left,,1,,1.0
149,1319384,right,sensory,head,,
150,2015704,left,sensory,0,94.0,16.0
