,head,pygidium,0,1,2,3
head,0.0,1.0291698368631942e-29,0.0015712735401321146,1.510354755195756e-11,0.0009314308647157684,3.1826927697026827e-05
pygidium,1.0291698368631942e-29,0.0,2.242306650514072e-16,4.610633556727683e-39,2.7378313906027203e-33,1.2943012277641461e-34
0,0.0015712735401321146,2.242306650514072e-16,0.0,0.03870680155983923,0.0071858299568070385,0.011454373982099782
1,1.510354755195756e-11,4.610633556727683e-39,0.03870680155983923,0.0,0.0006316228370577755,0.024626450135901666
2,0.0009314308647157684,2.7378313906027203e-33,0.0071858299568070385,0.0006316228370577755,0.0,0.30099335835168883
3,3.1826927697026827e-05,1.2943012277641461e-34,0.011454373982099782,0.024626450135901666,0.30099335835168883,0.0
