,Orig adj,LCC adj,Paper
Number of nodes,2542,2541.0,2728.0
Number of edges,12217,12217.0,11437.0
Graph density,0.0018914042589030073,0.0018928935535950568,0.0015
Modularity,N/A,0.6459573523429001,0.62
Avg. degree,4.806058221872541,4.807949626131444,4.1
