skids,side,class,segment,type,group
2007060,lr,i,head,N/A,N/A
139303,lr,s,1,102,N/A
2007344,l,im,head,166,N/A
1016172,l,im,1,N/A,N/A
1999932,r,sm,1,95,N/A
1320159,rc,i,head,N/A,N/A
1631592,lc,N/A,pygidium,N/A,N/A
1418928,lc,s,head,132,N/A
1320798,lc,s,head,N/A,N/A
370978,r,sm,pygidium,54,9
84457,rc,N/A,head,N/A,N/A
1462145,l,im,1,N/A,N/A
307194,rc,s,head,135,N/A
1462664,rc,N/A,2,N/A,N/A
1594313,r,sm,pygidium,93,9
1332516,rc,s,head,49,N/A
1366160,rc,i,pygidium,N/A,1
64258,lr,s,1,36,N/A
1276971,l,sm,2,80,N/A
81251,lc,s,head,43,N/A
1302189,r,im,head,11,N/A
1294206,lc,i,head,N/A,N/A
