,l,r
293,i,i
294,m,i
295,i,i
296,m,m
297,i,i
298,s,m
299,s,s
300,i,i
301,i,i
302,i,m
303,m,s
304,i,i
305,i,i
306,s,i
307,s,i
308,s,i
309,s,i
310,m,i
311,i,i
312,i,i
313,m,i
314,i,i
315,i,i
316,m,i
317,s,m
318,i,i
319,i,i
320,i,i
321,m,s
322,m,i
323,i,s
324,m,i
325,i,i
326,i,s
327,s,i
328,i,m
329,i,s
330,i,m
331,i,s
332,s,i
333,s,s
334,s,m
335,i,i
336,i,s
337,m,i
338,i,i
339,i,s
340,i,i
341,i,i
342,s,i
343,i,s
344,i,i
345,s,s
346,i,m
347,m,m
348,m,m
349,i,m
350,i,s
351,s,i
352,i,i
353,i,i
354,i,i
355,s,s
356,i,i
357,i,s
358,i,i
359,s,i
360,i,i
361,s,i
362,i,s
363,i,s
364,i,m
365,i,s
366,s,i
367,i,i
368,i,i
369,i,i
370,m,s
371,m,s
372,i,m
373,m,s
374,i,i
375,i,s
376,s,i
377,i,i
378,m,m
379,i,s
380,i,i
381,i,s
382,m,i
383,i,i
384,m,i
385,i,i
386,s,s
387,s,i
388,i,i
389,i,m
390,i,s
391,s,s
392,m,m
393,s,s
394,i,i
395,s,i
396,i,i
397,i,m
398,i,s
399,s,i
400,i,i
401,s,i
402,s,m
403,i,s
404,i,m
405,i,s
406,s,s
407,i,s
408,i,i
409,i,s
410,s,i
411,s,m
412,i,i
413,i,i
414,s,i
415,i,i
416,i,m
417,m,s
418,i,i
419,s,i
420,i,i
421,s,s
422,s,i
423,s,s
424,s,i
425,i,i
426,i,s
427,i,i
428,i,i
429,s,i
430,i,i
431,i,s
432,i,i
433,s,i
434,s,m
435,s,s
436,i,i
437,i,i
438,i,i
439,s,s
440,m,m
441,i,s
442,i,s
443,s,i
444,i,i
445,i,i
446,s,i
447,i,i
448,i,i
449,i,i
450,s,s
451,i,i
452,s,i
453,s,i
454,i,i
455,s,i
456,i,m
457,i,s
458,s,i
459,s,i
460,m,i
461,s,s
462,i,i
463,i,m
464,i,i
465,m,i
466,s,s
467,m,i
468,s,m
469,i,i
470,s,s
471,i,i
472,s,s
473,i,i
474,s,s
475,s,i
476,i,i
477,i,s
478,s,s
479,m,s
480,s,s
481,s,i
482,i,s
483,s,m
484,i,i
485,i,i
486,i,i
487,i,i
488,s,i
489,s,i
490,i,i
491,i,m
492,i,i
493,i,i
494,s,s
495,s,i
496,m,s
497,i,i
498,s,s
499,s,m
500,i,i
501,s,s
502,i,s
503,i,i
504,i,s
505,i,i
506,i,i
507,i,m
508,i,i
509,i,i
510,m,i
511,i,s
512,m,s
513,i,i
514,i,s
515,i,i
516,i,s
517,s,i
518,m,m
519,i,i
520,i,i
521,s,s
522,m,s
523,s,i
524,i,s
525,i,m
526,i,i
527,i,s
528,s,i
529,i,i
530,i,i
531,i,i
532,i,i
533,m,i
534,i,i
535,i,m
536,i,i
537,i,i
538,i,i
539,i,i
540,s,i
541,s,i
542,i,s
543,s,s
544,i,m
545,i,i
546,s,i
547,s,i
548,m,i
549,m,i
550,i,i
551,s,m
552,i,i
553,i,m
554,i,m
555,m,i
556,i,i
557,i,s
558,s,i
559,i,m
560,s,s
561,s,s
562,s,i
563,m,s
564,i,i
565,i,i
566,i,i
567,i,i
568,i,i
569,s,i
570,i,m
571,i,i
572,s,i
573,s,i
574,s,s
575,s,i
576,m,s
577,i,s
578,i,i
579,i,i
580,i,i
581,i,i
582,i,i
583,i,i
584,i,s
585,i,i
586,i,i
587,i,i
588,i,s
589,i,i
590,s,s
591,i,i
592,s,i
593,s,i
594,m,m
595,s,s
596,i,s
597,s,s
598,s,i
599,s,i
600,i,s
601,m,i
602,s,i
603,i,i
604,s,i
605,i,s
606,m,i
607,i,s
608,i,m
609,s,s
610,i,i
611,s,i
612,s,i
613,m,s
614,i,i
615,i,s
616,i,s
617,i,i
618,i,s
619,i,s
620,i,i
621,i,s
622,i,s
623,i,i
624,i,s
625,s,s
626,i,s
627,s,i
628,i,m
629,i,s
630,s,i
631,s,m
632,s,i
633,i,i
634,s,i
635,s,s
636,i,m
637,i,i
638,i,s
639,s,i
640,m,i
641,m,s
642,i,s
643,i,s
644,i,i
645,s,s
646,i,i
647,i,m
648,s,i
649,s,i
650,s,i
651,i,m
652,i,i
653,m,i
654,i,i
655,s,i
656,s,i
657,m,m
658,i,i
659,s,i
660,s,i
661,i,i
662,m,i
663,i,i
664,i,i
665,i,i
666,i,i
667,s,m
668,i,i
669,m,i
670,m,m
671,i,s
672,s,m
673,i,i
674,i,s
675,i,i
676,i,i
677,i,i
678,i,i
679,i,s
680,i,i
681,s,s
682,s,s
683,i,i
684,i,s
685,s,s
686,s,i
687,m,i
688,m,s
689,s,i
690,s,i
691,s,s
692,s,i
693,i,i
694,i,i
695,s,m
696,i,s
697,i,s
698,s,i
699,s,i
700,s,s
701,i,m
702,i,s
703,m,s
704,i,i
705,s,s
706,i,i
707,s,s
708,i,i
709,i,i
710,i,m
711,i,i
712,i,s
713,s,i
714,s,i
715,i,i
716,i,s
717,i,s
718,s,m
719,s,m
720,m,i
721,m,m
722,i,i
723,i,s
724,i,s
725,i,s
726,m,m
727,i,i
728,i,i
729,s,s
730,i,i
731,s,i
732,s,m
733,m,i
734,i,i
735,i,i
736,i,i
737,s,s
738,i,s
739,i,s
740,m,i
741,m,s
742,m,s
743,i,s
744,i,s
745,i,i
746,i,m
747,i,s
748,s,s
749,i,m
750,s,s
751,i,i
752,m,s
753,i,i
754,i,i
755,i,s
756,m,i
757,s,i
758,m,i
759,m,i
760,i,s
761,i,m
762,s,i
763,i,i
764,i,i
765,s,s
766,s,s
767,i,i
768,m,i
769,s,m
770,i,m
771,i,m
772,i,s
773,i,i
774,i,i
775,m,i
776,i,i
777,i,m
778,i,i
779,s,i
780,s,m
781,i,m
782,i,i
783,i,s
784,i,i
785,i,m
786,i,i
787,m,m
788,i,i
789,s,s
790,m,i
791,s,s
792,s,s
793,s,i
794,i,s
795,s,m
796,s,i
797,m,s
798,i,s
799,i,i
800,s,i
801,i,m
802,i,m
803,i,i
804,s,i
805,m,i
806,i,i
807,s,i
808,m,i
809,m,i
810,i,i
811,i,i
812,m,s
813,s,i
814,s,s
815,i,s
816,s,i
817,s,i
818,i,i
819,i,i
820,i,i
821,s,i
822,i,i
823,s,m
824,i,s
825,m,s
826,i,m
827,s,i
828,i,i
829,s,i
830,i,i
831,i,i
832,i,i
833,m,s
834,s,i
835,i,s
836,i,s
837,i,s
838,i,s
839,i,s
840,i,s
841,s,m
842,i,i
843,i,s
844,i,i
845,i,i
846,i,s
847,s,i
848,i,i
849,i,s
850,i,i
851,s,s
852,i,i
853,m,i
854,s,s
855,i,m
856,i,i
857,m,i
858,s,i
859,m,i
860,s,s
861,s,i
862,i,i
863,i,i
864,i,i
865,s,i
866,i,m
867,s,i
868,i,s
869,,i
870,,i
871,,i
872,,i
873,,s
874,,i
875,,i
876,,i
877,,i
878,,i
879,,s
880,,s
881,,i
882,,m
883,,s
884,,s
885,,s
886,,i
887,,i
888,,m
889,,m
