,l,r
0,s,s
1,s,i
2,s,i
3,s,m
4,s,m
5,i,i
6,i,s
7,i,s
8,s,s
9,i,s
10,s,i
11,s,i
12,i,i
13,s,i
14,i,i
15,i,i
16,s,i
17,s,s
18,i,i
19,i,m
20,m,i
21,s,i
22,s,i
23,i,i
24,s,i
25,i,i
26,s,s
27,s,i
28,s,i
29,i,s
30,i,m
31,i,i
32,m,s
33,i,s
34,i,i
35,m,s
36,s,s
37,i,i
38,i,s
39,i,i
40,i,s
41,i,m
42,i,s
43,s,s
44,i,i
45,i,i
46,s,m
47,i,i
48,i,s
49,i,i
50,i,s
51,i,m
52,s,s
53,s,i
54,s,i
55,s,i
56,s,s
57,s,i
58,s,s
59,i,s
60,s,i
61,i,i
62,s,i
63,i,i
64,s,i
65,m,i
66,i,i
67,i,s
68,i,i
69,s,i
70,s,i
71,i,s
72,s,s
73,i,i
74,s,s
75,i,s
76,s,s
77,i,s
78,i,i
79,i,s
80,i,i
81,s,s
82,i,m
83,i,i
84,s,i
85,i,i
86,i,s
87,s,i
88,m,i
89,s,s
90,s,m
91,s,m
92,m,i
93,i,i
94,s,i
95,i,s
96,s,i
97,s,i
98,i,m
99,s,i
100,i,i
101,s,s
102,i,s
103,i,i
104,i,i
105,s,i
106,s,i
107,s,s
108,s,m
109,i,i
110,m,i
111,i,i
112,m,i
113,i,s
114,i,s
115,m,s
116,s,i
117,m,s
118,i,i
119,i,i
120,i,s
121,i,i
122,m,i
123,s,s
124,i,s
125,i,s
126,s,i
127,i,m
128,i,i
129,m,i
130,s,m
131,s,m
132,s,s
133,m,i
134,i,s
135,i,i
136,i,s
137,s,i
138,m,m
139,i,m
140,s,m
141,s,i
142,s,s
143,i,s
144,i,s
145,s,s
146,s,i
147,s,s
148,m,i
149,i,i
150,i,s
151,i,s
152,m,i
153,s,m
154,i,i
155,s,m
156,s,i
157,s,m
158,s,s
159,s,s
160,s,m
161,s,s
162,s,i
163,i,i
164,s,s
165,s,s
166,i,s
167,s,s
168,i,i
169,i,s
170,s,s
171,m,s
172,i,s
173,i,s
174,s,s
175,m,s
176,i,i
177,s,s
178,i,i
179,i,s
180,i,m
181,i,i
182,m,i
183,s,i
184,s,i
185,i,i
186,s,i
187,i,i
188,m,i
189,m,s
190,s,s
191,m,s
192,i,m
193,i,i
194,s,i
195,i,i
196,i,i
197,s,m
198,m,i
199,i,m
200,i,i
201,i,s
202,i,i
203,i,i
204,m,i
205,i,i
206,i,i
207,i,i
208,s,i
209,i,m
210,i,s
211,i,s
212,i,i
213,i,m
214,s,i
215,i,i
216,s,i
217,s,i
218,i,m
219,i,i
220,s,s
221,m,i
222,i,i
223,i,s
224,s,i
225,s,i
226,s,m
227,i,i
228,i,i
229,i,i
230,s,i
231,i,i
232,i,i
233,s,i
234,i,i
235,m,s
236,s,m
237,s,i
238,m,s
239,m,i
240,m,m
241,m,m
242,s,m
243,s,i
244,i,s
245,s,i
246,i,i
247,s,s
248,i,i
249,i,i
250,i,i
251,i,i
252,i,s
253,s,i
254,i,i
255,s,i
256,i,i
257,i,i
258,i,m
259,i,i
260,m,i
261,i,i
262,i,i
263,i,m
264,i,m
265,i,s
266,i,i
267,i,m
268,s,s
269,s,i
270,i,i
271,i,s
272,s,m
273,i,s
274,i,s
275,i,m
276,i,s
277,i,s
278,i,i
279,i,s
280,i,i
281,i,i
282,s,s
283,i,s
284,m,s
285,s,i
286,i,i
287,s,i
288,m,m
289,i,i
290,s,s
291,i,i
292,i,i
