,l,r
0,s,s
1,s,i
2,s,m
3,i,m
4,i,i
5,s,s
6,i,s
7,s,s
8,s,i
9,i,i
10,s,i
11,i,s
12,i,i
13,s,i
14,s,i
15,m,i
16,s,i
17,s,i
18,i,s
19,s,i
20,s,m
21,s,s
22,i,s
23,i,i
24,i,s
25,m,s
26,i,i
27,i,s
28,m,i
29,s,m
30,i,s
31,i,s
32,i,i
33,i,i
34,s,s
35,s,s
36,i,s
37,i,i
38,s,i
39,s,s
40,s,s
41,s,s
42,s,i
43,s,i
44,s,i
45,s,s
46,i,i
47,s,i
48,m,s
49,i,s
50,i,s
51,s,s
52,i,s
53,s,s
54,i,i
55,s,i
56,i,s
57,s,m
58,i,i
59,i,i
60,i,s
61,s,i
62,i,s
63,i,m
64,s,i
65,i,i
66,i,s
67,s,i
68,s,i
69,s,m
70,s,i
71,m,i
72,i,s
73,s,s
74,s,i
75,i,i
76,s,i
77,s,m
78,i,i
79,i,i
80,i,s
81,s,s
82,s,s
83,s,i
84,s,s
85,i,i
86,m,s
87,i,i
88,m,i
89,i,s
90,i,s
91,m,s
92,s,m
93,i,i
94,i,m
95,m,m
96,s,s
97,i,i
98,i,s
99,s,i
100,i,m
101,i,m
102,m,s
103,s,s
104,s,s
105,s,s
106,i,s
107,i,s
108,i,i
109,s,m
110,m,i
111,i,m
112,s,s
113,s,s
114,s,m
115,i,s
116,s,i
117,s,s
118,m,s
119,i,s
120,i,i
121,m,s
122,s,s
123,i,s
124,s,s
125,s,s
126,s,s
127,s,i
128,s,s
129,s,i
130,s,s
131,i,m
132,s,i
133,s,i
134,s,i
135,i,i
136,i,i
137,i,s
138,i,s
139,s,s
140,m,m
141,i,i
142,i,i
143,m,m
144,s,i
145,s,m
146,s,i
147,i,s
148,m,i
149,s,i
150,m,i
151,i,i
152,i,i
153,i,m
154,i,s
155,s,m
156,m,i
157,i,i
158,i,m
159,i,s
160,i,i
161,m,s
162,i,i
163,i,i
164,i,m
165,s,i
166,i,i
167,i,i
168,i,i
169,s,i
170,s,s
171,i,i
172,s,s
173,m,i
174,i,m
175,i,m
176,s,m
177,s,i
178,s,s
179,i,i
180,i,s
181,s,i
182,i,i
183,m,i
184,s,s
185,m,i
186,m,i
187,m,i
188,s,i
189,s,i
190,i,i
191,s,i
192,s,i
193,i,i
194,i,m
195,i,s
196,i,m
197,i,s
198,s,i
199,i,i
200,i,s
201,i,m
202,m,s
203,i,s
204,i,m
205,i,s
206,i,s
207,i,i
208,s,s
209,s,i
210,i,i
211,s,s
212,i,s
213,i,i
214,i,i
215,i,i
216,i,m
217,i,i
218,i,s
219,s,i
220,i,i
221,m,i
222,s,m
223,i,i
224,s,s
225,i,i
226,s,s
227,i,i
228,i,i
229,m,i
230,m,i
231,i,i
232,s,i
233,i,i
234,m,i
235,i,i
236,i,i
237,s,i
238,s,i
239,s,i
240,m,s
241,i,i
242,i,s
243,m,i
244,i,i
245,i,m
246,m,s
247,s,m
248,i,s
249,i,i
250,m,s
251,m,m
252,m,i
253,i,i
254,i,s
255,s,i
256,i,i
257,i,i
258,s,s
259,s,s
260,s,m
261,i,m
262,m,m
263,i,m
264,i,s
265,i,i
266,s,i
267,i,i
268,s,s
269,m,s
270,i,i
271,i,i
272,s,s
273,i,m
274,i,i
275,i,i
276,s,i
277,i,i
278,i,s
279,s,s
280,i,m
281,s,i
282,i,s
283,i,i
284,i,i
285,s,m
286,i,s
287,i,i
288,i,s
289,m,i
290,i,i
291,i,i
292,m,s
