skids,side,class,segment,type,group
1343291,rc,N/A,head,N/A,N/A
1332516,rc,s,head,49,N/A
1402724,rc,N/A,3,N/A,N/A
1462664,rc,N/A,2,N/A,N/A
84457,rc,N/A,head,N/A,N/A
1366160,rc,i,pygidium,N/A,1
1803671,rc,N/A,1,N/A,N/A
1272216,rc,N/A,head,N/A,N/A
307194,rc,s,head,135,N/A
1303551,rc,N/A,head,N/A,N/A
1320159,rc,i,head,N/A,N/A
81251,lc,s,head,43,N/A
1631592,lc,N/A,pygidium,N/A,N/A
1808808,lc,N/A,head,N/A,N/A
1317675,lc,s,head,49,N/A
1795565,lc,N/A,head,N/A,N/A
1418928,lc,s,head,132,N/A
1320798,lc,s,head,N/A,N/A
1272499,lc,i,head,N/A,N/A
1294206,lc,i,head,N/A,N/A
1795551,lc,N/A,head,N/A,N/A
1349160,lr,s,pygidium,N/A,N/A
64258,lr,s,1,36,N/A
224238,lr,i,2,N/A,3
139303,lr,s,1,102,N/A
1358976,c,N/A,head,N/A,N/A
1808824,c,s,head,N/A,N/A
1327106,r,s,head,N/A,15
1409027,r,N/A,3,N/A,N/A
1630216,r,N/A,3,N/A,N/A
1343498,r,i,head,N/A,N/A
1646603,r,N/A,3,N/A,N/A
1769485,r,s,N/A,N/A,N/A
1695759,r,N/A,3,N/A,N/A
1835023,r,N/A,2,N/A,N/A
1622033,r,N/A,3,N/A,N/A
1728531,r,i,2,N/A,5
1785875,r,N/A,head,N/A,N/A
1687573,r,N/A,1,N/A,N/A
1548310,r,N/A,1,N/A,N/A
1327127,r,s,head,N/A,N/A
1695768,r,N/A,3,N/A,N/A
1769494,r,N/A,0,N/A,N/A
1941525,r,N/A,3,N/A,N/A
1990679,r,N/A,2,N/A,N/A
1835036,r,N/A,2,N/A,N/A
2007060,r,i,head,N/A,N/A
1064990,r,i,head,116,N/A
1441826,r,N/A,3,N/A,N/A
917539,r,N/A,N/A,N/A,N/A
1466405,r,i,2,N/A,5
1695782,r,N/A,3,N/A,N/A
1769509,r,N/A,N/A,N/A,N/A
1646634,r,N/A,3,N/A,N/A
1671212,r,N/A,1,N/A,N/A
1835053,r,N/A,2,N/A,N/A
1638446,r,N/A,1,N/A,N/A
1646638,r,N/A,1,N/A,N/A
1769520,r,N/A,0,N/A,N/A
1777711,r,N/A,1,N/A,N/A
1941551,r,N/A,3,N/A,N/A
1490995,r,N/A,2,N/A,N/A
1728563,r,m,2,165,N/A
1990704,r,N/A,2,N/A,N/A
1179702,r,N/A,1,N/A,N/A
1507382,r,N/A,3,N/A,N/A
1466424,r,m,2,64,N/A
1744952,r,N/A,head,N/A,N/A
1327162,r,s,head,N/A,15
1458234,r,N/A,1,N/A,N/A
1417276,r,i,3,N/A,3
1507391,r,N/A,3,N/A,N/A
1294400,r,s,head,163,N/A
1646655,r,N/A,3,N/A,N/A
1671231,r,N/A,1,N/A,N/A
1777727,r,N/A,1,N/A,N/A
1065030,r,i,2,169,3
1359945,r,N/A,head,N/A,N/A
1769545,r,N/A,1,N/A,N/A
1777738,r,N/A,1,N/A,N/A
1646668,r,N/A,1,N/A,N/A
1179725,r,N/A,2,N/A,N/A
1294413,r,s,head,163,N/A
1450061,r,N/A,2,N/A,N/A
1441872,r,N/A,2,N/A,N/A
1327186,r,s,head,N/A,N/A
24659,r,s,head,1,N/A
1294423,r,i,head,N/A,N/A
1409113,r,N/A,head,N/A,N/A
1425497,r,N/A,3,N/A,N/A
1376350,r,i,1,N/A,3
1769568,r,N/A,N/A,N/A,N/A
1917024,r,N/A,2,N/A,N/A
1359971,r,i,head,N/A,N/A
1990757,r,N/A,2,N/A,N/A
1409133,r,N/A,head,N/A,N/A
1359987,r,i,head,N/A,N/A
1810547,r,N/A,3,N/A,N/A
1024120,r,i,head,N/A,N/A
1065083,r,i,head,N/A,N/A
1359995,r,i,head,N/A,N/A
1507453,r,N/A,3,N/A,N/A
1818747,r,N/A,N/A,N/A,N/A
1810561,r,N/A,3,N/A,N/A
1818754,r,N/A,N/A,N/A,N/A
1769604,r,N/A,N/A,N/A,N/A
2007173,r,N/A,0,N/A,16
1335430,r,i,head,N/A,N/A
786570,r,i,head,N/A,N/A
909450,r,N/A,3,N/A,N/A
1327243,r,s,head,N/A,15
1613963,r,N/A,1,N/A,N/A
1810572,r,N/A,3,N/A,N/A
1990794,r,N/A,2,N/A,N/A
606354,r,i,1,N/A,N/A
1204373,r,N/A,0,N/A,N/A
1433751,r,i,3,N/A,N/A
1327256,r,s,head,N/A,15
1409181,r,N/A,head,N/A,N/A
1319070,r,s,head,15,N/A
1482912,r,N/A,2,N/A,N/A
57508,r,i,head,N/A,N/A
1810598,r,N/A,3,N/A,N/A
1409191,r,N/A,head,N/A,N/A
1818793,r,N/A,N/A,N/A,N/A
1360043,r,N/A,head,N/A,N/A
1327276,r,s,head,N/A,15
1409196,r,N/A,0,N/A,N/A
893102,r,i,head,N/A,N/A
1966253,r,N/A,3,N/A,N/A
1810610,r,N/A,3,N/A,N/A
1646776,r,N/A,1,N/A,N/A
1663161,r,m,1,N/A,N/A
1327290,r,s,head,N/A,15
843965,r,N/A,head,N/A,N/A
1499326,r,N/A,1,N/A,7
1810621,r,N/A,3,N/A,N/A
1990846,r,N/A,2,N/A,N/A
401601,r,i,head,N/A,N/A
1409217,r,N/A,head,N/A,N/A
573635,r,N/A,0,N/A,N/A
1818820,r,N/A,0,N/A,N/A
1933508,r,N/A,3,N/A,N/A
2236618,r,N/A,1,N/A,N/A
1376459,r,i,1,N/A,6
1482958,r,N/A,2,N/A,N/A
1933521,r,N/A,3,N/A,N/A
1335507,r,i,head,122,N/A
671957,r,i,head,104,N/A
1425621,r,i,3,N/A,7
1474774,r,N/A,head,N/A,N/A
1564887,r,N/A,head,N/A,N/A
1630425,r,N/A,3,N/A,N/A
1376474,r,i,head,N/A,N/A
1286364,r,N/A,0,N/A,N/A
1818845,r,N/A,0,N/A,N/A
1990877,r,N/A,2,N/A,N/A
1646818,r,N/A,1,N/A,N/A
1810660,r,N/A,3,N/A,N/A
1425637,r,i,3,N/A,N/A
1843430,r,N/A,head,N/A,N/A
1966308,r,N/A,3,N/A,N/A
1278185,r,s,pygidium,98,9
1376490,r,i,head,N/A,N/A
1474793,r,i,head,N/A,N/A
1482990,r,i,2,N/A,N/A
1327343,r,s,head,N/A,15
1466608,r,s,head,N/A,N/A
1810674,r,N/A,3,N/A,N/A
1990899,r,N/A,2,N/A,N/A
1286389,r,N/A,1,N/A,N/A
1425654,r,N/A,3,N/A,N/A
1409271,r,N/A,head,N/A,10
1761525,r,N/A,N/A,N/A,N/A
1810683,r,N/A,3,N/A,N/A
1761532,r,N/A,N/A,N/A,N/A
1483005,r,N/A,2,N/A,N/A
1016062,r,i,1,N/A,N/A
1425662,r,N/A,2,N/A,N/A
1679615,r,m,1,64,N/A
1286402,r,i,1,N/A,5
1990915,r,N/A,2,N/A,N/A
1483019,r,N/A,2,N/A,N/A
1761549,r,N/A,N/A,N/A,N/A
1376526,r,N/A,0,N/A,N/A
1990928,r,N/A,2,N/A,N/A
24849,r,s,head,1,N/A
1843474,r,N/A,2,N/A,N/A
1933585,r,N/A,3,N/A,N/A
1761558,r,N/A,N/A,N/A,N/A
139543,r,s,1,38,N/A
1483032,r,i,2,N/A,1
1622296,r,N/A,3,N/A,N/A
1409306,r,N/A,head,N/A,10
1671447,r,N/A,pygidium,N/A,N/A
16668,r,s,head,1,N/A
532764,r,s,head,44,N/A
1843484,r,N/A,2,N/A,N/A
1966361,r,N/A,3,N/A,N/A
1761569,r,N/A,N/A,N/A,N/A
1376546,r,N/A,head,N/A,N/A
1392932,r,i,2,N/A,7
1982759,r,N/A,1,N/A,N/A
1843496,r,N/A,2,N/A,N/A
1761578,r,N/A,N/A,N/A,N/A
1335597,r,s,head,N/A,N/A
1630510,r,s,3,N/A,N/A
1622319,r,N/A,3,N/A,N/A
1409329,r,s,head,N/A,N/A
1409333,r,N/A,head,N/A,N/A
1671477,r,N/A,pygidium,N/A,N/A
1982776,r,N/A,1,N/A,N/A
1417531,r,N/A,2,N/A,N/A
1376573,r,i,head,N/A,N/A
1761599,r,N/A,N/A,N/A,N/A
1671488,r,N/A,3,N/A,N/A
1966400,r,N/A,3,N/A,N/A
1409346,r,i,head,N/A,N/A
1761608,r,N/A,N/A,N/A,N/A
1417545,r,s,2,95,N/A
1409359,r,N/A,head,N/A,N/A
1638739,r,N/A,1,N/A,N/A
1966419,r,N/A,2,N/A,N/A
1319254,r,s,head,13,N/A
1409372,r,m,2,64,N/A
1761628,r,N/A,N/A,N/A,N/A
1728862,r,N/A,2,N/A,N/A
1925470,r,N/A,1,N/A,N/A
1728870,r,N/A,2,N/A,N/A
1450345,r,N/A,3,N/A,N/A
1974637,r,N/A,3,N/A,N/A
1966446,r,N/A,2,N/A,N/A
1728885,r,N/A,2,N/A,N/A
1925494,r,N/A,2,N/A,N/A
1974648,r,N/A,3,N/A,N/A
1417597,r,N/A,2,N/A,N/A
1991038,r,N/A,2,N/A,N/A
1466751,r,N/A,head,N/A,N/A
1630592,r,N/A,3,N/A,N/A
1638783,r,N/A,1,N/A,N/A
1368453,r,i,head,N/A,N/A
1671557,r,N/A,2,N/A,N/A
1974663,r,N/A,3,N/A,N/A
2294153,r,i,head,N/A,N/A
1655183,r,N/A,head,N/A,N/A
1819024,r,N/A,N/A,N/A,N/A
1737105,r,s,head,36,N/A
1769873,r,N/A,0,N/A,N/A
1991058,r,N/A,2,N/A,N/A
1761685,r,N/A,N/A,N/A,N/A
1950103,r,N/A,3,N/A,N/A
1671576,r,N/A,2,N/A,N/A
1655193,r,N/A,head,N/A,N/A
1761692,r,N/A,N/A,N/A,N/A
1270174,r,s,head,N/A,11
1966494,r,N/A,2,N/A,N/A
2294176,r,i,head,N/A,13
1663395,r,N/A,1,N/A,N/A
1991075,r,N/A,2,N/A,N/A
1761701,r,N/A,N/A,N/A,N/A
1368487,r,i,head,N/A,N/A
1630637,r,N/A,3,N/A,N/A
1761709,r,N/A,N/A,N/A,N/A
1843629,r,N/A,head,N/A,N/A
1991086,r,N/A,2,N/A,N/A
25010,r,s,head,1,N/A
1712563,r,N/A,head,N/A,N/A
1974706,r,N/A,3,N/A,N/A
1393083,r,i,3,N/A,5
1434044,r,N/A,2,N/A,N/A
1712573,r,N/A,head,N/A,N/A
1728958,r,N/A,2,N/A,N/A
1671615,r,N/A,3,N/A,N/A
1769920,r,N/A,0,N/A,16
1343937,r,N/A,head,N/A,N/A
1393089,r,N/A,3,N/A,N/A
1425863,r,i,head,N/A,N/A
1466823,r,N/A,head,N/A,N/A
1343945,r,N/A,head,N/A,N/A
1663434,r,i,1,N/A,N/A
1712584,r,N/A,head,N/A,N/A
1761740,r,N/A,N/A,N/A,N/A
1728973,r,N/A,2,N/A,N/A
2236871,r,N/A,3,N/A,N/A
