,count
cellgroup1,111
cellgroup2,55
cellgroup3,114
cellgroup4,37
cellgroup5,55
cellgroup6,25
cellgroup7,114
cellgroup8,27
cellgroup9,76
cellgroup10,66
cellgroup11,12
cellgroup12,68
cellgroup13,32
cellgroup14,6
cellgroup15,88
cellgroup16,61
cellgroup17,52
cellgroup18,15
