,head,pygidium,1,2,3
0,s,s,i,m,i
1,s,s,i,m,i
2,s,s,m,i,s
3,i,s,i,i,i
4,i,s,m,i,m
5,i,s,i,i,i
6,s,i,i,s,m
7,s,s,m,i,i
8,i,s,i,i,i
9,s,i,i,i,i
10,s,s,i,s,s
11,s,s,m,i,s
12,i,s,i,i,i
13,s,s,s,i,i
14,i,s,i,s,s
15,i,s,i,i,m
16,i,s,m,m,i
17,s,s,m,s,s
18,i,s,m,i,m
19,s,i,i,i,m
20,s,s,i,i,i
21,i,s,i,m,i
22,m,s,i,s,s
23,s,s,i,s,s
24,i,i,m,s,s
25,s,s,i,i,i
26,i,i,m,i,s
27,s,i,s,s,i
28,i,i,s,m,i
29,i,s,m,i,i
30,s,i,i,m,m
31,s,i,i,s,i
32,i,s,m,m,i
33,i,i,s,i,m
34,i,i,s,s,i
35,s,s,s,i,i
36,s,s,s,m,m
37,s,m,i,m,i
38,i,s,i,i,m
39,s,s,m,m,s
40,m,s,i,s,i
41,i,s,i,i,m
42,i,s,i,s,i
43,s,s,i,i,m
44,i,s,s,s,i
45,i,s,m,s,m
46,s,i,i,i,m
47,s,s,i,m,s
48,s,s,i,m,i
49,i,i,s,i,s
50,i,s,i,i,s
51,s,s,i,i,i
52,s,m,i,m,s
53,s,s,i,i,i
54,i,s,i,i,i
55,s,m,i,i,i
56,i,,i,s,m
57,s,,i,s,m
58,s,,i,m,s
59,s,,i,i,m
60,s,,m,s,i
61,i,,i,i,s
62,s,,i,i,i
63,i,,i,m,i
64,i,,i,m,i
65,s,,m,s,i
66,i,,i,m,m
67,s,,i,m,m
68,s,,i,i,i
69,s,,m,i,i
70,i,,m,i,i
71,s,,m,i,i
72,i,,m,s,s
73,s,,m,i,i
74,i,,m,m,i
75,i,,i,m,i
76,s,,i,i,m
77,i,,m,i,s
78,s,,i,m,i
79,i,,i,s,m
80,s,,s,s,i
81,i,,i,i,i
82,i,,m,m,s
83,i,,i,i,s
84,s,,m,i,i
85,i,,i,i,s
86,i,,i,i,s
87,i,,i,i,m
88,m,,m,i,i
89,i,,i,m,i
90,s,,i,i,m
91,s,,s,s,i
92,i,,i,i,m
93,s,,i,m,i
94,s,,i,i,i
95,s,,i,s,m
96,s,,i,m,m
97,i,,m,m,i
98,i,,i,i,i
99,s,,i,i,i
100,i,,i,m,i
101,s,,i,s,i
102,s,,m,i,i
103,s,,i,i,i
104,i,,m,i,s
105,i,,i,i,m
106,i,,i,i,i
107,i,,s,i,i
108,i,,i,m,i
109,i,,m,i,m
110,s,,m,s,i
111,s,,s,i,i
112,s,,i,m,i
113,s,,i,i,s
114,i,,m,s,i
115,s,,i,m,m
116,s,,s,i,m
117,s,,i,i,i
118,i,,i,i,s
119,s,,i,i,m
120,s,,s,m,i
121,s,,i,m,i
122,s,,s,i,i
123,s,,i,i,m
124,i,,i,i,i
125,s,,i,m,i
126,s,,i,i,i
127,m,,i,i,s
128,s,,i,m,s
129,s,,i,i,s
130,s,,m,i,s
131,s,,i,m,s
132,s,,i,s,i
133,s,,m,i,i
134,s,,i,i,i
135,s,,i,i,i
136,i,,i,m,i
137,s,,i,i,i
138,i,,i,m,i
139,m,,i,i,m
140,m,,m,i,i
141,i,,i,i,i
142,i,,i,s,m
143,s,,i,i,i
144,s,,i,m,s
145,i,,m,i,s
146,i,,s,i,m
147,s,,s,i,m
148,s,,s,i,i
149,s,,s,i,i
150,s,,i,i,i
151,i,,m,s,m
152,s,,i,s,s
153,s,,i,i,i
154,i,,i,i,s
155,s,,i,i,s
156,i,,i,i,m
157,i,,i,m,m
158,i,,m,i,m
159,i,,i,m,i
160,i,,m,i,i
161,i,,s,i,m
162,i,,i,m,m
163,s,,i,i,i
164,i,,m,i,i
165,i,,i,m,s
166,s,,m,m,m
167,s,,m,i,m
168,i,,m,m,i
169,i,,m,i,i
170,i,,i,i,i
171,i,,i,i,i
172,s,,i,m,s
173,s,,i,i,m
174,i,,i,i,i
175,i,,m,i,m
176,i,,i,i,s
177,s,,i,i,m
178,s,,m,m,i
179,i,,,m,m
180,i,,,i,i
181,i,,,i,m
182,i,,,i,s
183,s,,,s,i
184,m,,,m,s
185,s,,,i,m
186,s,,,i,i
187,s,,,i,
188,i,,,m,
189,s,,,m,
190,s,,,m,
191,i,,,m,
192,i,,,i,
193,i,,,i,
194,i,,,i,
195,i,,,i,
196,s,,,s,
197,i,,,m,
198,i,,,i,
199,s,,,i,
200,s,,,i,
201,s,,,i,
202,i,,,m,
203,s,,,s,
204,i,,,i,
205,s,,,m,
206,s,,,i,
207,i,,,i,
208,i,,,m,
209,i,,,s,
210,s,,,m,
211,s,,,s,
212,i,,,i,
213,i,,,m,
214,i,,,i,
215,s,,,i,
