,head,pygidium,1,2,3
0,2015233,1278185.0,1376350.0,1728563.0,1417265.0
1,1318919,1335777.0,827510.0,1466424.0,1417276.0
2,2015241,1335790.0,1663161.0,1483032.0,1278038.0
3,1064990,1335832.0,1376459.0,1392932.0,1425621.0
4,1318965,1335845.0,1679615.0,1950241.0,1392926.0
5,1278006,1278598.0,2015571.0,1491577.0,1401122.0
6,1294400,1409671.0,2007389.0,1360565.0,1392970.0
7,1318986,1278688.0,1499594.0,2015926.0,1442134.0
8,1294413,1278697.0,1663434.0,1696456.0,1393083.0
9,24659,369396.0,1827444.0,1450796.0,1409561.0
10,1130583,1278903.0,1294986.0,1778482.0,1631145.0
11,1024095,1287162.0,1950393.0,1295231.0,1360843.0
12,1278051,1344565.0,1360579.0,1950602.0,1278947.0
13,1359987,1360967.0,2015966.0,1393552.0,1278959.0
14,385141,1344599.0,172769.0,2007954.0,1516536.0
15,1302663,1361264.0,1442572.0,1565599.0,1279078.0
16,786570,1279508.0,1753932.0,1541032.0,1393787.0
17,1736843,1541658.0,557901.0,1377198.0,1442970.0
18,1319070,1279518.0,1000272.0,1336299.0,1410274.0
19,57508,1312289.0,1295406.0,1360893.0,1828100.0
20,344239,1279525.0,1999956.0,1500207.0,1279252.0
21,1736887,1279543.0,1082470.0,1860656.0,1393942.0
22,401601,1279563.0,1426565.0,1975364.0,1361208.0
23,1065166,1386177.0,1295517.0,1729648.0,1434961.0
24,57553,1460009.0,1582275.0,1541262.0,525800.0
25,508114,1313126.0,1377483.0,1410290.0,1361412.0
26,1335507,1387104.0,1361146.0,2008327.0,1353303.0
27,671957,445419.0,1361174.0,2008355.0,1312390.0
28,1065178,1166446.0,1598752.0,689547.0,1386139.0
29,1155295,1281424.0,1328477.0,2008469.0,1435324.0
30,73954,1347263.0,1328483.0,280016.0,1410776.0
31,1474793,1732300.0,1549787.0,2008544.0,1976063.0
32,409861,1618091.0,1361481.0,1525235.0,1435418.0
33,24849,1274031.0,1361489.0,1959421.0,1427287.0
34,16668,1274053.0,1443411.0,1525257.0,1386336.0
