,l,r
0,2015233.0,1769485
1,1318919.0,1064990
2,2015241.0,1728563
3,1417265.0,1466424
4,1318965.0,1417276
5,1278006.0,1294400
6,1318986.0,1294413
7,1278038.0,24659
8,1130583.0,1376350
9,1024095.0,1359987
10,1278051.0,786570
11,385141.0,1319070
12,827510.0,57508
13,1302663.0,401601
14,1736843.0,1376459
15,344239.0,1335507
16,1736887.0,671957
17,1065166.0,1425621
18,57553.0,1278185
19,508114.0,1474793
20,1065178.0,1679615
21,1155295.0,24849
22,73954.0,139543
23,409861.0,1483032
24,1311006.0,16668
25,1392926.0,532764
26,1401122.0,1392932
27,1360179.0,1335597
28,1392970.0,1409346
29,16719.0,1409372
30,2015571.0,1737105
31,1442134.0,25010
32,1335645.0,1393083
33,2007389.0,1663434
34,1212800.0,1319384
35,1089948.0,672228
36,1261995.0,1327607
37,1499594.0,762387
38,2015704.0,1409561
39,1335777.0,1770014
40,1335790.0,442961
41,1335832.0,1417810
42,1950241.0,1303153
43,1335845.0,1450610
44,1278565.0,1491577
45,1155695.0,1327767
46,1827444.0,1286825
47,1278598.0,1704627
48,1294986.0,1360565
49,1950393.0,541367
50,2015926.0,983759
51,1360579.0,1319649
52,1696456.0,1319657
53,1639124.0,770802
54,2015966.0,369396
55,1278688.0,1311483
56,172769.0,1123072
57,1278697.0,1442572
58,74477.0,1319704
59,1303297.0,1450796
60,1950485.0,1778482
61,115486.0,246584
62,1278774.0,1311558
63,41848.0,557901
64,1377175.0,1000272
65,1704860.0,893804
66,1565599.0,1311597
67,1377191.0,557944
68,1631145.0,1295231
69,1278903.0,1950602
70,1360843.0,1393552
71,656354.0,2007954
72,1278947.0,295849
73,1516536.0,1377198
74,1287162.0,328632
75,1377274.0,1319881
76,1360893.0,1311697
77,1721342.0,1434598
78,1295406.0,1278959
79,1500207.0,1336321
80,1860656.0,1344565
81,1156145.0,476224
82,1975364.0,1360967
83,1074256.0,1999956
84,1090653.0,1344599
85,1082470.0,590953
86,1279078.0,1688689
87,1303655.0,1426565
88,1729648.0,1311897
89,1393787.0,1442970
90,1541262.0,1639584
91,1295517.0,189615
92,320687.0,1377483
93,1582275.0,672986
94,296186.0,1410274
95,1828100.0,1410290
96,2008327.0,1361146
97,361741.0,34044
98,1279252.0,156947
99,1361174.0,1287449
100,1393942.0,2008355
101,1860886.0,1729830
102,1598752.0,1328429
103,1156418.0,1361208
104,58694.0,1434961
105,1361224.0,984413
106,1328477.0,615803
107,1328483.0,1312187
108,1303909.0,280016
109,1361264.0,2008544
110,1951105.0,1934818
111,689547.0,1525257
112,1336723.0,1279508
113,2008469.0,1541658
114,181663.0,140828
115,1361317.0,1279518
116,738760.0,1312289
117,1156554.0,1279525
118,1549787.0,26163
119,1312224.0,1279543
120,525800.0,493121
121,1525235.0,1959492
122,58877.0,1279563
123,1959421.0,1377866
124,1361412.0,1361489
125,837128.0,1443411
126,2008588.0,452180
127,452157.0,1353303
128,673344.0,1361497
129,2008640.0,2016881
130,1361481.0,1123964
131,1295953.0,2016902
132,58968.0,108173
133,2008663.0,1115832
134,1394281.0,1345237
135,1312363.0,1328854
136,386671.0,1410776
137,1656440.0,493278
138,1345150.0,796391
139,1730175.0,57341
140,2016896.0,1312505
141,1312390.0,1976063
142,1386139.0,1460009
143,1435324.0,1345337
144,1402559.0,1312586
145,1386177.0,1468265
146,247535.0,1582964
147,493317.0,1312647
148,1435418.0,1378190
149,1419056.0,1304469
150,1779518.0,1173400
151,1427287.0,1345461
152,1386336.0,1845175
153,1402736.0,1435591
154,411531.0,1271778
155,1419152.0,1280027
156,1460113.0,1411126
157,1337238.0,1845305
158,1312678.0,1697854
159,1271721.0,1837125
160,1337258.0,1271884
161,1755080.0,1370203
162,1337294.0,1583195
163,2000850.0,1329247
164,1320921.0,1665129
165,1312731.0,1271920
166,370662.0,1509512
167,1320938.0,1329299
168,1329166.0,854174
169,436248.0,1427617
170,1329204.0,796862
171,1304654.0,1304775
172,1394792.0,608460
173,2001006.0,493786
174,1828978.0,1468636
175,813171.0,1566960
176,174199.0,1181940
177,1271928.0,2017535
178,1280134.0,59671
179,1345703.0,1730843
180,1394876.0,780577
181,485566.0,1829164
182,67795.0,1280329
183,1394905.0,35154
184,1730785.0,1116504
185,1394963.0,1304924
186,108826.0,1829214
187,1239327.0,313716
188,10536.0,1403261
189,837942.0,1304968
190,1845563.0,1304979
191,1345862.0,1395094
192,1730901.0,1460631
193,1157465.0,1304990
194,1313126.0,1763759
195,1370473.0,27064
196,1419639.0,1026501
197,1362300.0,1337798
198,1952161.0,1386950
199,1493426.0,1731014
200,1739198.0,1337804
201,92619.0,1567189
202,1436108.0,1731062
203,1018325.0,1411577
204,1354209.0,1477119
205,2001380.0,1845760
206,1624567.0,1329666
207,584184.0,1321475
208,1214973.0,1690116
209,1075718.0,2009602
210,1968682.0,190983
211,1411627.0,1411593
212,1321532.0,1419787
213,387680.0,1296919
214,1387104.0,1280537
215,1608290.0,1411609
216,1616482.0,1460772
217,780915.0,1215017
218,117385.0,1075760
219,486036.0,1370693
220,1354390.0,1845855
221,60061.0,1616492
222,1108642.0,1739384
223,1354406.0,1567361
224,1092264.0,1411715
225,649899.0,1272459
226,1125044.0,346796
227,764615.0,1460921
228,1272534.0,1321665
229,1321713.0,1321672
230,1403656.0,1272523
231,1329930.0,1329884
232,183077.0,1731304
233,1420085.0,1477378
234,1395556.0,1616645
235,1264498.0,1354525
236,1305461.0,478001
237,248696.0,1329970
238,11135.0,1346362
239,1272719.0,1313602
240,1305492.0,1567572
241,355224.0,469848
242,1436570.0,1272664
243,1280930.0,1436506
244,1846187.0,1354628
245,1354681.0,1026962
246,1395647.0,1837982
247,1387465.0,1387435
248,1387474.0,265148
249,1453008.0,1420237
250,1387530.0,1117148
251,1420302.0,1166300
252,1674291.0,445419
